	Gene	FBgn	Position	Sample1	Sample2	FPKM1	FPKM2	FoldChange.Log2	TestStat	Pval	Qval
199	CG30289	FBgn0050289	2R:17407959-17409338	long-lived/young	long-lived/old	0	1.99569	NA	NA	5e-05	0.00944315
200	CG30360	FBgn0050360	2R:4352674-4354701	long-lived/young	long-lived/old	38.4956	223.016	2.53439	6.19606	5e-05	0.00944315
201	CG31004	FBgn0051004	3R:27004110-27021484	long-lived/young	long-lived/old	9.60569	29.8595	1.63623	3.85859	0.00025	0.0344675
202	CG31148	FBgn0051148	3R:19526359-19528324	long-lived/young	long-lived/old	2.12184	33.7792	3.99275	5.62919	3e-04	0.0392668
203	CG31601	FBgn0051601	2L:22040789-22043034	long-lived/young	long-lived/old	0	0.515683	NA	NA	0.00015	0.0229783
204	CG32444	FBgn0043783	3L:21630046-21632160	long-lived/young	long-lived/old	47.7651	176.598	1.88644	4.67898	5e-05	0.00944315
205	CG32642	FBgn0052642	X:12853314-12854543	long-lived/young	long-lived/old	67.1133	14.3322	-2.22734	-4.10924	3e-04	0.0392668
206	CG33173	FBgn0263747	X:15667203-15674095	long-lived/young	long-lived/old	17.9527	4.70772	-1.9311	-4.0256	0.00025	0.0344675
207	CG33926	FBgn0053926	3L:9436363-9439480	long-lived/young	long-lived/old	16.829	142.85	3.08548	5.57691	5e-05	0.00944315
208	CG34166	FBgn0085195	2L:14743252-14743859	long-lived/young	long-lived/old	156.347	1622.34	3.37525	7.38258	5e-05	0.00944315
209	CG34172	FBgn0085201	2L:2192524-2193010	long-lived/young	long-lived/old	965.32	47.6394	-4.34078	-6.60032	5e-05	0.00944315
210	CG34333	FBgn0085362	X:2170005-2171743	long-lived/young	long-lived/old	309.024	81.1786	-1.92855	-4.84667	5e-05	0.00944315
211	CG4000	FBgn0038820	3R:16501943-16503074	long-lived/young	long-lived/old	434.648	37.1904	-3.54684	-7.72915	5e-05	0.00944315
212	CG4009	FBgn0038469	3R:12859682-12861740	long-lived/young	long-lived/old	86.2845	25.8122	-1.74105	-4.13947	0.00025	0.0344675
213	CG4363	FBgn0034663	2R:17721734-17722534	long-lived/young	long-lived/old	35.9557	290.191	3.01271	5.84998	5e-05	0.00944315
214	CG4377	FBgn0034664	2R:17722952-17723835	long-lived/young	long-lived/old	24.1723	156.37	2.69354	4.85609	5e-05	0.00944315
215	CG4461	FBgn0035982	3L:9368529-9369393	long-lived/young	long-lived/old	129.949	28.0813	-2.21027	-4.40481	1e-04	0.0164785
216	CG4757	FBgn0027584	3R:6986923-6988868	long-lived/young	long-lived/old	8.19932	151.658	4.20917	7.64218	5e-05	0.00944315
217	CG5246	FBgn0038484	3R:12961832-12962917	long-lived/young	long-lived/old	24.2487	102.609	2.08117	4.2945	0.00015	0.0229783
218	CG6188	FBgn0038074	3R:8500330-8501806	long-lived/young	long-lived/old	2.43538	115.893	5.5725	7.12009	5e-05	0.00944315
219	CG6283	FBgn0039474	3R:22845953-22847100	long-lived/young	long-lived/old	8.55165	71.8802	3.07132	5.0414	1e-04	0.0164785
220	CG6409	FBgn0036106	3L:10873793-10875151	long-lived/young	long-lived/old	132.53	387.447	1.54768	3.8504	0.00015	0.0229783
221	CG6484	FBgn0034247	2R:13469511-13471514	long-lived/young	long-lived/old	39.9929	157.46	1.97717	4.75658	5e-05	0.00944315
222	CG6640	FBgn0262007	3L:10088846-10091180	long-lived/young	long-lived/old	5.61381	51.7244	3.20379	5.27003	2e-04	0.028823
223	CG6910	FBgn0036262	3L:12179057-12180960	long-lived/young	long-lived/old	92.1708	295.22	1.67941	4.21663	5e-05	0.00944315
224	CG7203	FBgn0031942	2L:7752167-7753156	long-lived/young	long-lived/old	758.932	5.22003	-7.18377	-9.15015	5e-05	0.00944315
225	CG7214	FBgn0031940	2L:7743676-7744841	long-lived/young	long-lived/old	113.733	1.07635	-6.72336	-8.2447	1e-04	0.0164785
226	CG7298	FBgn0036948	3L:20195169-20196786	long-lived/young	long-lived/old	1.23834	34.9165	4.81742	6.06647	4e-04	0.04866
227	CG8093	FBgn0033999	2R:11101785-11103191	long-lived/young	long-lived/old	5.15791	67.0835	3.7011	5.75723	1e-04	0.0164785
228	CG8560	FBgn0035781	3L:7395429-7397281	long-lived/young	long-lived/old	195.594	72.1811	-1.43817	-3.66809	2e-04	0.028823
229	CG8690	FBgn0033297	2R:4359487-4361466	long-lived/young	long-lived/old	7.61101	82.8839	3.44493	6.2777	1e-04	0.0164785
230	CG8693	FBgn0033294	2R:4346328-4348389	long-lived/young	long-lived/old	3.1275	41.9641	3.74608	5.79185	5e-05	0.00944315
231	CG9090	FBgn0034497	2R:16166560-16168629	long-lived/young	long-lived/old	506.125	23.6735	-4.41815	-9.22994	5e-05	0.00944315
232	CG9297	FBgn0038181	3R:9597319-9605037	long-lived/young	long-lived/old	182.158	15.0634	-3.59608	-8.32129	5e-05	0.00944315
233	CG9468	FBgn0032069	2L:8777660-8781251	long-lived/young	long-lived/old	6.13515	30.9236	2.33354	4.65588	1e-04	0.0164785
234	Ca-P60A	FBgn0263006	2R:19814478-19823408	long-lived/young	long-lived/old	868.92	145.078	-2.58239	-4.53408	5e-05	0.00944315
235	Ccp84Ag	FBgn0004777	3R:2512449-2513761	long-lived/young	long-lived/old	1.02154	0	NA	NA	2e-04	0.028823
236	CecA2	FBgn0000277	3R:26037877-26038291	long-lived/young	long-lived/old	0	41.0063	NA	NA	5e-05	0.00944315
237	Cht4	FBgn0022700	2R:16952884-16954592	long-lived/young	long-lived/old	4.35336	49.3202	3.50198	5.37493	5e-05	0.00944315
238	Cp16	FBgn0000356	3L:8724841-8725699	long-lived/young	long-lived/old	748.997	148.796	-2.33162	-5.7696	5e-05	0.00944315
239	Cp18	FBgn0000357	3L:8719890-8720713	long-lived/young	long-lived/old	2874.08	539.853	-2.41246	-5.57735	5e-05	0.00944315
240	Cp19	FBgn0000358	3L:8722964-8723704	long-lived/young	long-lived/old	1832.29	483.903	-1.92086	-4.54816	5e-05	0.00944315
241	Cpr49Ab	FBgn0050042	2R:8265961-8266901	long-lived/young	long-lived/old	120.953	23.2406	-2.37973	-4.63162	1e-04	0.0164785
242	Cpr49Ae	FBgn0033728	2R:8289719-8292620	long-lived/young	long-lived/old	361.314	7.8947	-5.51622	-8.95207	5e-05	0.00944315
243	Cyp6a23	FBgn0033978	2R:10763337-10765159	long-lived/young	long-lived/old	21.796	109.068	2.32309	5.35727	5e-05	0.00944315
244	Cyp6w1	FBgn0033065	2R:2061200-2062947	long-lived/young	long-lived/old	13.231	96.4239	2.86547	5.78985	5e-05	0.00944315
245	Cyp9b2	FBgn0015039	2R:3017781-3019640	long-lived/young	long-lived/old	22.6777	100.1	2.1421	4.88325	5e-05	0.00944315
246	Dpt	FBgn0004240	2R:14753269-14753765	long-lived/young	long-lived/old	8.56445	1525.46	7.47667	10.5708	5e-05	0.00944315
247	DptB	FBgn0034407	2R:14754894-14755400	long-lived/young	long-lived/old	11.4653	488.893	5.41418	7.65517	5e-05	0.00944315
248	Dro	FBgn0010388	2R:10633460-10633821	long-lived/young	long-lived/old	44.1974	2014.64	5.51041	8.84232	5e-05	0.00944315
249	Fcp26Aa	FBgn0086265	2L:5963086-5964322	long-lived/young	long-lived/old	95.2137	24.042	-1.98561	-4.27312	4e-04	0.04866
250	Gpo-1	FBgn0022160	2R:11745255-11750251	long-lived/young	long-lived/old	118.812	35.5474	-1.74087	-4.29784	5e-05	0.00944315
251	Hsp23	FBgn0001224	3L:9374983-9375867	long-lived/young	long-lived/old	9.57309	63.1951	2.72276	4.28573	0.00035	0.0440011
252	IM2	FBgn0025583	2R:14274101-14274535	long-lived/young	long-lived/old	351.332	1112.73	1.6632	4.14861	5e-05	0.00944315
253	IM23	FBgn0034328	2R:14270208-14270737	long-lived/young	long-lived/old	16.4129	127.251	2.95477	4.28141	0.00035	0.0440011
254	IM4	FBgn0040653	2R:16756340-16756826	long-lived/young	long-lived/old	207.148	1244.91	2.58731	6.13138	5e-05	0.00944315
255	ImpE2	FBgn0001254	3L:3510973-3512677	long-lived/young	long-lived/old	0.735193	0	NA	NA	1e-04	0.0164785
256	Jon25Bi	FBgn0020906	2L:4954070-4955353	long-lived/young	long-lived/old	664.561	154.537	-2.10445	-5.23245	5e-05	0.00944315
257	Jon25Bii	FBgn0031654	2L:4952249-4953134	long-lived/young	long-lived/old	493.578	87.1958	-2.50095	-6.12594	5e-05	0.00944315
258	Jon65Ai	FBgn0035667	3L:6046683-6047526	long-lived/young	long-lived/old	365.442	104.833	-1.80154	-4.49114	5e-05	0.00944315
259	Jon99Cii	FBgn0003356	3R:25749475-25750333	long-lived/young	long-lived/old	971.324	300.598	-1.69212	-4.0782	1e-04	0.0164785
260	Jon99Fi	FBgn0039778	3R:26314686-26315625	long-lived/young	long-lived/old	654.79	230.376	-1.50704	-3.7233	2e-04	0.028823
261	Lcp65Ag2	FBgn0020637	3L:6126088-6126700	long-lived/young	long-lived/old	2.089	0	NA	NA	3e-04	0.0392668
262	LvpD	FBgn0002569	2R:4341136-4343291	long-lived/young	long-lived/old	4.79084	34.9195	2.86568	4.64397	4e-04	0.04866
263	LvpH	FBgn0002570	2R:4334973-4339404	long-lived/young	long-lived/old	24.116	339.949	3.81726	8.41927	5e-05	0.00944315
264	LysB	FBgn0004425	3L:1207370-1207868	long-lived/young	long-lived/old	334.402	37.7157	-3.14835	-5.52663	5e-05	0.00944315
265	LysD	FBgn0004427	3L:1208424-1232701	long-lived/young	long-lived/old	1671.54	331.447	-2.33433	-4.03391	5e-05	0.00944315
266	Mf	FBgn0038294	3R:10996346-11006143	long-lived/young	long-lived/old	1042.95	261.428	-1.99618	-4.19558	0.00015	0.0229783
267	Mhc	FBgn0264695	2L:16766736-16788766	long-lived/young	long-lived/old	365.363	68.5273	-2.41458	-4.61748	5e-05	0.00944315
268	Mlc1	FBgn0002772	3R:23483284-23485921	long-lived/young	long-lived/old	1015.06	152.967	-2.73027	-6.38947	5e-05	0.00944315
269	Mlc2	FBgn0002773	3R:25997159-26000273	long-lived/young	long-lived/old	1116.08	230.362	-2.27647	-4.6303	5e-05	0.00944315
270	Mlp60A	FBgn0259209	2R:19962535-19965746	long-lived/young	long-lived/old	998.567	285.845	-1.80463	-4.15546	1e-04	0.0164785
271	Mtk	FBgn0014865	2R:11296350-11296621	long-lived/young	long-lived/old	22.9528	2158.21	6.55502	8.44024	0.00035	0.0440011
272	MtnA	FBgn0002868	3R:5609486-5610093	long-lived/young	long-lived/old	1354.69	5065.64	1.90278	4.53462	5e-05	0.00944315
273	Mur18B	FBgn0030999	X:19107288-19108971	long-lived/young	long-lived/old	257.292	973.372	1.91958	4.21175	5e-05	0.00944315
274	Mur2B	FBgn0025390	X:1417932-1553962	long-lived/young	long-lived/old	28.1226	9.51797	-1.563	-3.71636	5e-05	0.00944315
275	NPC1b	FBgn0261675	X:20805979-20810408	long-lived/young	long-lived/old	1.23122	10.087	3.03434	4.38313	1e-04	0.0164785
276	Npc2e	FBgn0051410	3R:5879119-5879982	long-lived/young	long-lived/old	9.46547	152.819	4.01301	5.65443	1e-04	0.0164785
277	Nplp3	FBgn0042201	3L:16311123-16311790	long-lived/young	long-lived/old	1716.85	15.8904	-6.75546	-10.1502	5e-05	0.00944315
278	Osi15	FBgn0037424	3R:2127527-2129375	long-lived/young	long-lived/old	1.85114	0	NA	NA	5e-05	0.00944315
279	Osi20	FBgn0037430	3R:2165818-2167146	long-lived/young	long-lived/old	1.95197	0	NA	NA	5e-05	0.00944315
280	Osi9	FBgn0037416	3R:2085934-2087832	long-lived/young	long-lived/old	1.05459	0	NA	NA	5e-05	0.00944315
281	PGRP-SB1	FBgn0043578	3L:16720398-16721118	long-lived/young	long-lived/old	15.4592	396.066	4.67921	7.66501	5e-05	0.00944315
282	Pepck	FBgn0003067	2R:14424271-14426924	long-lived/young	long-lived/old	76.5454	370.218	2.27399	5.30512	5e-05	0.00944315
283	Prm	FBgn0003149	3L:8725957-8738447	long-lived/young	long-lived/old	166.923	39.0737	-2.09492	-5.01791	5e-05	0.00944315
284	Rya-r44F	FBgn0011286	2R:4747895-4775602	long-lived/young	long-lived/old	7.02646	2.08442	-1.75315	-3.93122	5e-05	0.00944315
285	Sodh-1	FBgn0024289	3R:2878056-2880264	long-lived/young	long-lived/old	28.414	117.67	2.05007	4.64927	5e-05	0.00944315
286	TepII	FBgn0041182	2L:7693799-7701585	long-lived/young	long-lived/old	9.59799	29.7729	1.6332	3.76256	0.00015	0.0229783
287	Tm2	FBgn0004117	3R:11135914-11140920	long-lived/young	long-lived/old	359.688	101.877	-1.81992	-4.33777	5e-05	0.00944315
288	TotA	FBgn0028396	3R:16696757-16697427	long-lived/young	long-lived/old	36.1259	810.642	4.48796	8.12968	5e-05	0.00944315
289	TotC	FBgn0044812	3R:16698709-16699310	long-lived/young	long-lived/old	34.0684	479.369	3.81463	6.83234	5e-05	0.00944315
290	TotM	FBgn0031701	2L:5329856-5330466	long-lived/young	long-lived/old	12.0494	166.853	3.79155	5.74408	5e-05	0.00944315
291	TpnC4	FBgn0033027	2R:1384183-1437059	long-lived/young	long-lived/old	298.636	15.1695	-4.29915	-5.94362	5e-05	0.00944315
292	TpnC41C	FBgn0013348	2R:953795-957715	long-lived/young	long-lived/old	279.848	15.994	-4.12904	-6.77774	5e-05	0.00944315
293	Tsf1	FBgn0022355	X:18281964-18284377	long-lived/young	long-lived/old	125.135	1358.01	3.43994	7.00581	5e-05	0.00944315
294	TwdlD	FBgn0039444	3R:22465747-22466779	long-lived/young	long-lived/old	1.07284	0	NA	NA	3e-04	0.0392668
295	TwdlF	FBgn0037224	3R:72743-74040	long-lived/young	long-lived/old	0.871839	0	NA	NA	0.00015	0.0229783
296	TwdlM	FBgn0039434	3R:22444844-22445953	long-lived/young	long-lived/old	1.95765	0	NA	NA	5e-05	0.00944315
297	TwdlN	FBgn0039441	3R:22457594-22458680	long-lived/young	long-lived/old	1.62865	0	NA	NA	5e-05	0.00944315
298	Unc-89	FBgn0053519	2R:19883065-19901384	long-lived/young	long-lived/old	15.9824	3.81015	-2.06857	-5.07596	5e-05	0.00944315
299	Uro	FBgn0003961	2L:7780084-7781415	long-lived/young	long-lived/old	41.3203	145.853	1.81959	4.40931	5e-05	0.00944315
300	Vm26Aa	FBgn0003979	2L:5959699-5960340	long-lived/young	long-lived/old	4128.5	1056.08	-1.9669	-4.26577	1e-04	0.0164785
301	Vm26Ab	FBgn0003980	2L:5957003-5957628	long-lived/young	long-lived/old	2091.04	632.831	-1.72433	-4.07031	5e-05	0.00944315
302	Vm34Ca	FBgn0003983	2L:13411176-13411631	long-lived/young	long-lived/old	4199.73	1117.6	-1.90989	-4.45976	5e-05	0.00944315
303	Zasp52	FBgn0265991	2R:11650069-11704314	long-lived/young	long-lived/old	164.297	54.6055	-1.58919	-3.40488	3e-04	0.0392668
304	bt	FBgn0005666	4:745029-796707	long-lived/young	long-lived/old	21.2647	6.25894	-1.76447	-4.28527	5e-05	0.00944315
305	dec-1	FBgn0000427	X:7761228-7767255	long-lived/young	long-lived/old	230.866	52.9872	-2.12334	-4.8306	5e-05	0.00944315
306	epsilonTry	FBgn0010425	2R:7232733-7233567	long-lived/young	long-lived/old	1197.84	201.444	-2.57199	-6.18803	5e-05	0.00944315
307	fit	FBgn0038914	3R:17706531-17710176	long-lived/young	long-lived/old	34.4564	241.486	2.80909	4.94249	5e-05	0.00944315
308	fln	FBgn0005633	3L:19982650-19984279	long-lived/young	long-lived/old	214.014	5.12877	-5.38295	-8.23887	5e-05	0.00944315
309	halo	FBgn0001174	2L:1517531-1518184	long-lived/young	long-lived/old	1.4106	0	NA	NA	0.00015	0.0229783
310	l(2)01289	FBgn0010482	2R:2608605-2628149	long-lived/young	long-lived/old	45.1312	12.3132	-1.87392	-4.33553	5e-05	0.00944315
311	thetaTry	FBgn0011555	2R:7229218-7230261	long-lived/young	long-lived/old	154.143	42.2942	-1.86574	-4.30879	0.00035	0.0440011
312	up	FBgn0004169	X:13487609-13496536	long-lived/young	long-lived/old	567.097	160.362	-1.82226	-4.09967	5e-05	0.00944315
313	wupA	FBgn0283471	X:17999585-18010855	long-lived/young	long-lived/old	554.375	173.037	-1.67978	-4.03715	5e-05	0.00944315
314	yellow-g	FBgn0041709	3L:2268826-2272769	long-lived/young	long-lived/old	175.312	49.7066	-1.81842	-4.46297	5e-05	0.00944315
315	yellow-g2	FBgn0035328	3L:2276549-2278038	long-lived/young	long-lived/old	151.969	45.7699	-1.73131	-4.27375	5e-05	0.00944315
316	Acp65Aa	FBgn0020765	3L:6145149-6145845	short-lived/young	long-lived/young	81.5082	280.361	1.78227	4.09164	2e-04	0.028823
317	Amy-p	FBgn0000079	2R:13006210-13007808	short-lived/young	long-lived/young	187.562	68.3552	-1.45625	-3.67987	2e-04	0.028823
318	CG12522	FBgn0036131	3L:11101362-11101776	short-lived/young	long-lived/young	0	10.9015	NA	NA	5e-05	0.00944315
319	CG7203	FBgn0031942	2L:7752167-7753156	short-lived/young	long-lived/young	235.442	758.932	1.6886	4.26455	5e-05	0.00944315
320	Cyp6g1	FBgn0025454	2R:8073167-8077882	short-lived/young	long-lived/young	50.1768	259.228	2.36913	5.73885	5e-05	0.00944315
321	Nplp3	FBgn0042201	3L:16311123-16311790	short-lived/young	long-lived/young	407.868	1716.85	2.07359	5.15624	5e-05	0.00944315
322	TwdlD	FBgn0039444	3R:22465747-22466779	short-lived/young	long-lived/young	0	1.07284	NA	NA	3e-04	0.0392668
323	TwdlM	FBgn0039434	3R:22444844-22445953	short-lived/young	long-lived/young	0	1.95765	NA	NA	5e-05	0.00944315
324	TwdlN	FBgn0039441	3R:22457594-22458680	short-lived/young	long-lived/young	0	1.62865	NA	NA	1e-04	0.0164785
325	Acp65Aa	FBgn0020765	3L:6145149-6145845	short-lived/old	long-lived/old	47.6116	1.7774	-4.74348	-5.42852	3e-04	0.0392668
326	Act79B	FBgn0000045	3L:21978330-21980290	short-lived/old	long-lived/old	210.982	47.0084	-2.16613	-5.38307	5e-05	0.00944315
327	Ama	FBgn0000071	3R:2588314-2590983	short-lived/old	long-lived/old	1.06112	0	NA	NA	5e-05	0.00944315
328	CG32073	FBgn0052073	3L:11100107-11100476	short-lived/old	long-lived/old	0	5.89669	NA	NA	1e-04	0.0164785
329	CG34172	FBgn0085201	2L:2192524-2193010	short-lived/old	long-lived/old	404.525	47.6394	-3.086	-4.54501	0.00035	0.0440011
330	CG4000	FBgn0038820	3R:16501943-16503074	short-lived/old	long-lived/old	140.87	37.1904	-1.92137	-4.23736	3e-04	0.0392668
331	CG4461	FBgn0035982	3L:9368529-9369393	short-lived/old	long-lived/old	120.496	28.0813	-2.1013	-4.17499	0.00035	0.0440011
332	CG6639	FBgn0032638	2L:17452923-17458775	short-lived/old	long-lived/old	126.707	38.6859	-1.71161	-3.99954	1e-04	0.0164785
333	CG9090	FBgn0034497	2R:16166560-16168629	short-lived/old	long-lived/old	104.866	23.6735	-2.1472	-4.62462	2e-04	0.028823
334	Hsp22	FBgn0001223	3L:9365821-9368064	short-lived/old	long-lived/old	430.632	111.658	-1.94737	-4.64231	5e-05	0.00944315
335	IM1	FBgn0034329	2R:14271456-14271883	short-lived/old	long-lived/old	1640.39	571.186	-1.52201	-3.82229	0.00035	0.0440011
336	Ir75a	FBgn0036757	3L:17808761-17811021	short-lived/old	long-lived/old	0	0.471503	NA	NA	2e-04	0.028823
337	Jon25Bii	FBgn0031654	2L:4952249-4953134	short-lived/old	long-lived/old	266.086	87.1958	-1.60956	-4.02218	5e-05	0.00944315
338	Nplp3	FBgn0042201	3L:16311123-16311790	short-lived/old	long-lived/old	232.242	15.8904	-3.8694	-5.80439	5e-05	0.00944315
339	TotC	FBgn0044812	3R:16698709-16699310	short-lived/old	long-lived/old	1571.63	479.369	-1.71305	-4.20436	5e-05	0.00944315
340	epsilonTry	FBgn0010425	2R:7232733-7233567	short-lived/old	long-lived/old	610.524	201.444	-1.59967	-4.0373	1e-04	0.0164785
