	Gene	FBgn	Position	Sample1	Sample2	FPKM1	FPKM2	FoldChange.Log2	TestStat	Pval	Qval
454	CG17974	FBgn0034624	2R:17235691-17238349	young	old	1.42138	0.0940348	-3.91795	-2.25524	0.00045	0.00405706
455	CG17977	FBgn0040778	2R:3954113-3955157	young	old	17.6645	7.65455	-1.20647	-1.36554	0.002	0.0139088
456	CG1812	FBgn0031119	X:20382573-20386859	young	old	20.4272	13.5765	-0.589384	-1.09484	0.0078	0.0410562
457	CG18136	FBgn0036839	3L:18994084-18996393	young	old	6.31804	1.45329	-2.12015	-2.1846	5e-05	0.000618758
458	CG18213	FBgn0038470	3R:12862115-12865924	young	old	1.05098	3.43503	1.70858	1.9466	1e-04	0.00115824
459	CG18249	FBgn0037553	3R:4045862-4047910	young	old	16.0986	30.4924	0.921512	1.61309	2e-04	0.00208188
460	CG18304	FBgn0031869	2L:6932684-6942246	young	old	4.88858	1.83724	-1.41187	-2.1426	5e-05	0.000618758
461	CG18317	FBgn0031359	2L:1716887-1724391	young	old	52.5567	30.0878	-0.804696	-1.51406	0.00015	0.00164377
462	CG18327	FBgn0033904	2R:10052559-10055738	young	old	32.9633	10.761	-1.61505	-1.529	0.0022	0.0150426
463	CG18343	FBgn0033683	2R:8026306-8026781	young	old	155.592	264.906	0.767713	1.36816	0.00105	0.0082679
464	CG18347	FBgn0260743	3R:7793450-7797200	young	old	59.6602	37.3574	-0.675376	-1.27317	0.0026	0.0172814
465	CG18473	FBgn0037683	3R:5189031-5190560	young	old	1.1142	3.21577	1.52916	1.17774	0.0077	0.0407054
466	CG18507	FBgn0028527	2L:13665527-13670854	young	old	10.6859	17.1609	0.683415	1.06902	0.00965	0.048719
467	CG18522	FBgn0267408	3R:11357858-11363010	young	old	14.3924	33.0703	1.20023	2.1187	5e-05	0.000618758
468	CG18547	FBgn0037973	3R:7804295-7806112	young	old	23.8423	145.717	2.61158	4.25113	5e-05	0.000618758
469	CG18596	FBgn0038953	3R:18201666-18205681	young	old	5.02928	9.77239	0.958361	1.64986	5e-05	0.000618758
470	CG18598	FBgn0038589	3R:14076835-14078450	young	old	234.434	81.6473	-1.5217	-2.33244	5e-05	0.000618758
471	CG18641	FBgn0031426	2L:2410883-2412129	young	old	2.1959	0.152586	-3.84712	-2.00707	0.00045	0.00405706
472	CG18749	FBgn0042182	3R:4069780-4073577	young	old	12.861	20.3519	0.662167	1.08143	0.0096	0.0485419
473	CG18815	FBgn0042138	3L:11621169-11623099	young	old	241.58	136.147	-0.827339	-1.48208	0.00025	0.00250102
474	CG18869	FBgn0042179	3L:4059805-4061923	young	old	0.277877	1.86833	2.74923	1.99858	5e-05	0.000618758
475	CG1888	FBgn0033421	2R:5432676-5434459	young	old	17.771	30.9986	0.802677	1.36746	7e-04	0.00587687
476	CG1890	FBgn0039869	3R:27569227-27569970	young	old	33.9843	60.4888	0.8318	1.424	0.00085	0.0069335
477	CG1909	FBgn0039911	4:603736-609976	young	old	85.3567	46.7915	-0.867258	-1.58443	0.00025	0.00250102
478	CG1942	FBgn0033215	2R:3600127-3601695	young	old	2.88148	23.2335	3.01132	3.02412	5e-05	0.000618758
479	CG1970	FBgn0039909	4:588913-591420	young	old	390.035	205.586	-0.923864	-1.59355	1e-04	0.00115824
480	CG1979	FBgn0026563	3R:2880307-2884393	young	old	0.69657	5.83239	3.06575	3.3093	5e-05	0.000618758
481	CG2004	FBgn0030060	X:8603686-8608665	young	old	19.9878	40.8645	1.03172	1.19564	0.0059	0.0332032
482	CG2010	FBgn0039667	3R:25320523-25329519	young	old	31.7079	3.61263	-3.13372	-2.25638	0.00015	0.00164377
483	CG2016	FBgn0250839	3R:782716-787070	young	old	221.721	123.806	-0.84066	-1.57161	5e-05	0.000618758
484	CG2017	FBgn0037391	3R:1683798-1688133	young	old	54.5095	34.4686	-0.661225	-1.19342	0.0039	0.0238893
485	CG2022	FBgn0037292	3R:812221-836753	young	old	83.5253	11.9235	-2.80841	-4.05756	5e-05	0.000618758
486	CG2052	FBgn0262636	4:396259-414016	young	old	24.1154	15.529	-0.63499	-1.21759	0.00335	0.0211711
487	CG2064	FBgn0033205	2R:3553337-3556534	young	old	24.7879	72.5003	1.54835	2.10754	5e-05	0.000618758
488	CG2076	FBgn0030263	X:10984413-10986127	young	old	28.8753	122.891	2.08947	3.29659	5e-05	0.000618758
489	CG2183	FBgn0033273	2R:4055451-4059907	young	old	24.3267	15.9832	-0.605984	-1.0617	0.0091	0.0464709
490	CG2202	FBgn0030240	X:10742794-10746360	young	old	2.46401	8.31784	1.7552	2.47705	5e-05	0.000618758
491	CG2233	FBgn0029990	X:7929764-7931533	young	old	3088.63	9545.52	1.62786	1.05204	0.00725	0.0389164
492	CG2249	FBgn0040773	2R:5936984-5939682	young	old	2227.26	1148.01	-0.956129	-1.52686	5e-05	0.000618758
493	CG2493	FBgn0032864	2L:20459394-20463449	young	old	52.7105	113.597	1.10776	2.00707	5e-05	0.000618758
494	CG2556	FBgn0030396	X:12391193-12410580	young	old	3.04037	1.25003	-1.28228	-1.24909	0.005	0.0291115
495	CG2608	FBgn0032870	2L:20645825-20647381	young	old	27.3363	17.2036	-0.668103	-1.19795	0.00305	0.019631
496	CG2658	FBgn0024992	X:2588754-2592248	young	old	5.73544	11.9017	1.05319	1.62342	1e-04	0.00115824
497	CG2736	FBgn0035090	2R:20860943-20862894	young	old	192.117	400.035	1.05814	1.65364	5e-05	0.000618758
498	CG2781	FBgn0037534	3R:3807538-3821568	young	old	37.5361	62.5649	0.737074	1.30511	0.0013	0.00985497
499	CG2789	FBgn0031263	2L:553741-560523	young	old	124.518	223.102	0.841354	1.50851	0.00055	0.00479482
500	CG2862	FBgn0031459	2L:2770135-2771776	young	old	245.685	423.09	0.784157	1.37543	5e-04	0.00444627
501	CG2918	FBgn0023529	X:2165317-2169111	young	old	40.1132	67.8797	0.758902	1.40432	7e-04	0.00587687
502	CG2993	FBgn0037521	3R:3631716-3635710	young	old	18.8059	10.2068	-0.881659	-1.6222	5e-05	0.000618758
503	CG30000	FBgn0050000	2R:5493494-5494689	young	old	38.75	72.7681	0.909109	1.62185	0.00015	0.00164377
504	CG30002	FBgn0260474	2R:5591887-5593652	young	old	36.6249	60.7599	0.730293	1.20507	0.0036	0.0224317
505	CG30022	FBgn0050022	2R:7272237-7284935	young	old	21.8412	59.0697	1.43537	1.82981	5e-05	0.000618758
506	CG30026	FBgn0050026	2R:7296080-7296936	young	old	30.7626	102.977	1.74308	2.76011	5e-05	0.000618758
507	CG30033	FBgn0050033	2R:7172652-7181096	young	old	119.806	49.0652	-1.28793	-1.21208	0.00635	0.035029
508	CG30046	FBgn0050046	2R:8201623-8204736	young	old	9.61224	22.8148	1.24703	2.21214	5e-05	0.000618758
509	CG30050	FBgn0050050	2R:8296458-8297218	young	old	15.5428	2.83405	-2.45531	-2.12859	5e-05	0.000618758
510	CG30054	FBgn0050054	2R:8511230-8512857	young	old	92.9859	55.3555	-0.748286	-1.28238	0.0017	0.0123228
511	CG30069	FBgn0050069	2R:10073323-10085730	young	old	6.65236	10.6491	0.678788	1.2621	0.002	0.0139088
512	CG3008	FBgn0031643	2L:4877288-4885669	young	old	20.278	34.5951	0.770657	1.10912	0.0079	0.0414708
513	CG30083	FBgn0050083	2R:11599101-11600149	young	old	2.02842	19.7168	3.281	2.97789	5e-05	0.000618758
514	CG30098	FBgn0050098	2R:12241728-12242720	young	old	0.741686	9.23991	3.639	2.69513	5e-05	0.000618758
515	CG30101	FBgn0050101	2R:13295762-13297705	young	old	6.30952	1.63008	-1.95259	-1.95212	5e-05	0.000618758
516	CG30109	FBgn0050109	2R:13556904-13558253	young	old	10.8656	21.8587	1.00844	1.56316	0.00025	0.00250102
517	CG3011	FBgn0029823	X:5802157-5810826	young	old	22.1593	149.567	2.75481	3.45235	5e-05	0.000618758
518	CG30148	FBgn0050148	2R:16434534-16435186	young	old	13.5557	32.3778	1.2561	1.66171	0.00025	0.00250102
519	CG30151	FBgn0050151	2R:16416008-16416969	young	old	53.6076	106.529	0.990732	1.82988	5e-05	0.000618758
520	CG30154	FBgn0050154	2R:16420878-16421441	young	old	11.4061	30.3938	1.41397	1.58849	0.00035	0.00330503
521	CG30172	FBgn0050172	2R:19918164-19918724	young	old	189.187	92.1149	-1.0383	-1.8539	5e-05	0.000618758
522	CG30190	FBgn0261564	2R:18812612-18821208	young	old	92.6814	57.9985	-0.676264	-1.05775	0.00965	0.048719
523	CG30289	FBgn0050289	2R:17407959-17409338	young	old	0.611994	16.1027	4.71764	3.1724	5e-05	0.000618758
524	CG30296	FBgn0050296	2R:16905289-16912423	young	old	71.1544	31.6759	-1.16757	-2.16704	5e-05	0.000618758
525	CG30415	FBgn0250838	2R:19273200-19273969	young	old	966.348	552.449	-0.806703	-1.41092	9e-04	0.00726849
526	CG30419	FBgn0050419	2R:20100013-20117311	young	old	4.76259	2.78526	-0.773933	-1.20398	0.00205	0.0141858
527	CG30431	FBgn0050431	2R:2090247-2092729	young	old	5.4892	16.5713	1.59402	2.13916	5e-05	0.000618758
528	CG30466	FBgn0050466	2R:11458972-11461496	young	old	4.78802	11.2317	1.23007	1.3973	0.00245	0.0164411
529	CG3056	FBgn0024987	X:1264580-1268717	young	old	35.775	22.31	-0.681263	-1.30922	0.00135	0.0101708
530	CG3074	FBgn0034709	2R:18073482-18090178	young	old	95.4026	24.2708	-1.97481	-1.88831	0.00085	0.0069335
531	CG3088	FBgn0036015	3L:9593589-9594414	young	old	1032.85	429.338	-1.26645	-1.94656	5e-05	0.000618758
532	CG31030	FBgn0051030	3R:25990413-25992152	young	old	216.398	121.247	-0.835733	-1.4994	4e-04	0.00369149
533	CG31036	FBgn0051036	3R:25733830-25738614	young	old	1.21775	4.05586	1.73579	1.93281	5e-05	0.000618758
534	CG31051	FBgn0051051	3R:24345269-24346237	young	old	24.99	12.3355	-1.01854	-1.50874	1e-04	0.00115824
535	CG31064	FBgn0051064	3R:23055226-23064803	young	old	28.0119	17.693	-0.66286	-1.17259	0.00405	0.0246228
536	CG31075	FBgn0051075	3R:22804265-22814237	young	old	9.77672	75.0387	2.94021	3.39158	5e-05	0.000618758
537	CG31100	FBgn0051100	3R:4820949-4827608	young	old	19.7334	37.3118	0.918994	1.5587	2e-04	0.00208188
538	CG31104	FBgn0051104	3R:21111194-21112696	young	old	0.420508	1.48482	1.82009	1.33181	0.002	0.0139088
539	CG31140	FBgn0051140	3R:19788901-19808950	young	old	4.9337	3.06914	-0.684832	-1.08533	0.00755	0.0401078
540	CG31146	FBgn0051146	3R:3483970-3520040	young	old	1.49372	0.63887	-1.22531	-1.35282	0.0016	0.0116934
541	CG31150	FBgn0265048	3R:11670187-11679301	young	old	21.6174	34.2815	0.665235	1.21132	0.003	0.0193987
542	CG31183	FBgn0051183	3R:11683800-11695774	young	old	1.14782	2.6285	1.19534	1.39183	0.00045	0.00405706
543	CG31189	FBgn0051189	3R:16869814-16871533	young	old	18.1718	37.1254	1.03071	1.47494	0.00055	0.00479482
544	CG31205	FBgn0051205	3R:16557352-16558326	young	old	46.6906	112.884	1.27363	2.135	5e-05	0.000618758
545	CG31211	FBgn0051211	3R:7775401-7779880	young	old	35.9059	20.5757	-0.803279	-1.37365	0.00115	0.00886935
546	CG31216	FBgn0051216	3R:15497182-15524272	young	old	5.22729	11.9487	1.19272	1.58476	5e-05	0.000618758
547	CG31217	FBgn0051217	3R:12478167-12481489	young	old	30.6042	47.2699	0.627192	1.16686	0.0051	0.0295879
548	CG31235	FBgn0051235	3R:14142727-14154661	young	old	3.6118	1.24074	-1.54152	-1.20602	0.0076	0.0402639
549	CG31248	FBgn0051248	3R:2955041-2956630	young	old	77.8586	50.5126	-0.624212	-1.16574	0.00365	0.0226853
550	CG31300	FBgn0051300	3R:21109343-21110956	young	old	14.3325	23.0193	0.683553	1.13524	0.00375	0.0231448
551	CG31304	FBgn0261859	3R:10923349-10957646	young	old	6.1986	3.93552	-0.655389	-1.09744	0.00775	0.0408811
552	CG31313	FBgn0051313	3R:10392301-10393148	young	old	280.591	1014.45	1.85416	2.70488	5e-05	0.000618758
553	CG31324	FBgn0051324	3R:21932591-21955912	young	old	24.5582	11.506	-1.09382	-1.91869	5e-05	0.000618758
554	CG31326	FBgn0051326	3R:10043857-10045927	young	old	101.635	165.448	0.702985	1.24732	0.00155	0.0114134
555	CG31345	FBgn0051345	3R:8636866-8642751	young	old	33.0208	8.01329	-2.04291	-2.68417	5e-05	0.000618758
556	CG31357	FBgn0051357	3R:20654000-20655645	young	old	39.7968	23.5463	-0.75715	-1.39372	0.00095	0.00759689
557	CG31370	FBgn0051370	3R:21128185-21129708	young	old	6.59217	16.6878	1.33997	1.89776	5e-05	0.000618758
558	CG31380	FBgn0051380	3R:21613718-21615177	young	old	1.13552	5.06333	2.15673	1.36825	0.00835	0.0433206
559	CG31388	FBgn0051388	3R:7063536-7066713	young	old	19.6708	9.83788	-0.999639	-1.55656	3e-04	0.00290595
560	CG31414	FBgn0051414	3R:19530525-19533930	young	old	26.7898	52.3556	0.966659	1.69294	5e-05	0.000618758
561	CG31445	FBgn0051445	3R:25066301-25070220	young	old	12.6747	36.7022	1.53391	2.74323	5e-05	0.000618758
562	CG31469	FBgn0051469	3R:9534880-9535661	young	old	27.0209	60.6236	1.16581	1.69315	5e-05	0.000618758
563	CG31475	FBgn0051475	3R:15006382-15026820	young	old	11.3395	4.7721	-1.24866	-2.02713	5e-05	0.000618758
564	CG31530	FBgn0264907	3R:576128-598807	young	old	11.7613	5.87707	-1.00088	-1.74424	5e-05	0.000618758
565	CG31549	FBgn0051549	3R:1457913-1459043	young	old	23.0703	36.7352	0.671124	1.17034	0.00335	0.0211711
566	CG31619	FBgn0051619	2L:21684535-21729051	young	old	19.0259	10.952	-0.796763	-1.49997	0.00035	0.00330503
567	CG31646	FBgn0051646	2L:5626290-5658553	young	old	11.0382	5.91665	-0.899656	-1.53598	0.00015	0.00164377
568	CG31664	FBgn0051664	2L:1824272-1826378	young	old	6.09499	57.8959	3.24776	4.6533	5e-05	0.000618758
569	CG31665	FBgn0051665	2L:1836629-1858551	young	old	27.4316	16.8053	-0.706925	-1.33822	0.0018	0.012942
570	CG31673	FBgn0051673	2L:20829607-20831063	young	old	43.0227	99.9724	1.21643	2.12158	5e-05	0.000618758
571	CG31675	FBgn0051675	2L:20867756-20869650	young	old	10.9892	4.69903	-1.22566	-1.55147	6e-04	0.00516159
572	CG31689	FBgn0031449	2L:2730105-2739833	young	old	92.5125	147.848	0.676396	1.11449	0.0071	0.0382585
573	CG31705	FBgn0028490	2L:11523299-11528201	young	old	133.36	248.581	0.898389	1.49639	6e-04	0.00516159
574	CG31708	FBgn0051708	2L:9051630-9071162	young	old	6.51083	2.8258	-1.20418	-1.87837	5e-05	0.000618758
575	CG31712	FBgn0051712	2L:9934766-9938142	young	old	91.5083	54.543	-0.746508	-1.42366	7e-04	0.00587687
576	CG31720	FBgn0051720	2L:10234584-10238317	young	old	0.246939	1.35132	2.45214	2.07631	5e-05	0.000618758
577	CG31728	FBgn0051728	2L:13255407-13257426	young	old	0.723859	5.52413	2.93197	2.53076	5e-05	0.000618758
578	CG31743	FBgn0032618	2L:16879516-16886323	young	old	56.544	87.0718	0.622832	1.15679	0.0046	0.027287
579	CG31760	FBgn0051760	2L:12142783-12170217	young	old	15.8286	8.71957	-0.860204	-1.60265	5e-05	0.000618758
580	CG31769	FBgn0051769	2L:14109596-14110739	young	old	202.172	409.696	1.01897	1.6888	5e-05	0.000618758
581	CG31772	FBgn0263846	2L:3760067-3768191	young	old	4.61609	2.00187	-1.20532	-1.8428	5e-05	0.000618758
582	CG31777	FBgn0051777	2L:3706542-3707060	young	old	203.114	368.442	0.859149	1.58583	1e-04	0.00115824
583	CG31778	FBgn0051778	2L:3703658-3705462	young	old	73.3791	130.735	0.833201	1.49027	3e-04	0.00290595
584	CG31781	FBgn0051781	2L:16869486-16878300	young	old	23.0482	55.6534	1.27182	2.38007	5e-05	0.000618758
585	CG31817	FBgn0028899	2L:16330622-16337807	young	old	1.00346	0.517093	-0.95649	-1.14653	0.00535	0.0306558
586	CG31847	FBgn0263354	2L:13461780-13500427	young	old	41.9509	23.3861	-0.843052	-1.5561	0.00025	0.00250102
587	CG31904	FBgn0260479	2L:7734410-7738795	young	old	4.39355	0.174639	-4.65294	-3.69213	5e-05	0.000618758
588	CG31955	FBgn0051955	2L:3712153-3712862	young	old	6.7387	27.8509	2.04718	2.09565	5e-05	0.000618758
589	CG31999	FBgn0051999	4:235634-246580	young	old	16.6561	11.1227	-0.582547	-1.07428	0.009	0.0460566
590	CG32000	FBgn0052000	4:152849-163754	young	old	86.955	53.426	-0.702727	-1.21838	0.00355	0.0221625
591	CG32021	FBgn0052021	4:927897-929810	young	old	13.2673	25.3747	0.935513	1.21423	0.0031	0.0198351
592	CG32032	FBgn0043806	3L:9086153-9087956	young	old	110.258	197.478	0.840809	1.5485	0.00015	0.00164377
593	CG32037	FBgn0052037	3L:9482897-9485294	young	old	9.99709	0.772627	-3.69366	-3.28714	5e-05	0.000618758
594	CG32052	FBgn0044328	3L:9797559-9801813	young	old	17.9394	9.21335	-0.961335	-1.57766	1e-04	0.00115824
595	CG32068	FBgn0052068	3L:10656488-10657534	young	old	190.559	354.567	0.895822	1.62246	5e-05	0.000618758
596	CG32091	FBgn0052091	3L:11624494-11636004	young	old	7.58444	13.0638	0.784461	1.35603	0.00055	0.00479482
597	CG32103	FBgn0052103	3L:12396604-12407942	young	old	23.3394	36.7171	0.653684	1.21674	0.00225	0.0153201
598	CG32138	FBgn0267795	3L:14046868-14063469	young	old	6.62377	11.4358	0.787833	1.40682	5e-04	0.00444627
599	CG3214	FBgn0031436	2L:2579216-2580056	young	old	481.317	266.884	-0.850776	-1.59933	1e-04	0.00115824
600	CG32155	FBgn0263607	3L:16226219-16230099	young	old	17.2247	42.7969	1.31303	2.059	5e-05	0.000618758
601	CG32185	FBgn0052185	3L:17480222-17504793	young	old	0.898915	476.253	9.04933	2.07345	0.0034	0.021404
602	CG32206	FBgn0052206	3L:19333420-19405992	young	old	6.48775	2.79192	-1.21646	-2.17478	5e-05	0.000618758
603	CG32225	FBgn0052225	3L:20290228-20302611	young	old	97.3985	44.0381	-1.14515	-1.38465	0.00115	0.00886935
604	CG32230	FBgn0052230	3L:23332425-23334706	young	old	1835.6	940.138	-0.965305	-1.6781	5e-05	0.000618758
605	CG3226	FBgn0029882	X:6547138-6548219	young	old	31.8467	50.71	0.671128	1.16739	0.00375	0.0231448
606	CG32267	FBgn0052267	3L:3471542-3472113	young	old	135.786	86.2318	-0.655038	-1.19541	0.0041	0.0248648
607	CG32278	FBgn0052278	3L:3169286-3172545	young	old	132.044	74.1016	-0.83344	-1.4568	5e-04	0.00444627
608	CG32333	FBgn0052333	3L:1275971-1294382	young	old	9.41633	2.62309	-1.8439	-2.14034	5e-05	0.000618758
609	CG32335	FBgn0063667	3L:1201870-1203030	young	old	3.64749	11.4339	1.64834	1.6086	0.00045	0.00405706
610	CG32355	FBgn0262508	3L:8589739-8593974	young	old	81.2033	40.3815	-1.00784	-1.68815	0.00015	0.00164377
611	CG32368	FBgn0052368	3L:7908536-7908946	young	old	14.0528	79.6161	2.5022	2.88468	5e-05	0.000618758
612	CG3239	FBgn0029769	X:5388072-5390082	young	old	46.4454	78.6771	0.760406	1.36409	0.00045	0.00405706
613	CG32406	FBgn0052406	3L:5990313-6019310	young	old	15.2413	7.79423	-0.967506	-1.70002	5e-05	0.000618758
614	CG32432	FBgn0052432	3L:20835100-20878288	young	old	26.396	8.93687	-1.56248	-2.6218	5e-05	0.000618758
615	CG3244	FBgn0031629	2L:4796583-4801923	young	old	202.503	126.712	-0.676391	-1.17882	0.00465	0.0275167
616	CG32444	FBgn0043783	3L:21630046-21632160	young	old	132.247	487.831	1.88315	2.58349	5e-05	0.000618758
617	CG32486	FBgn0266918	3L:3055903-3070839	young	old	122.614	74.5533	-0.717775	-1.29728	0.001	0.00794467
618	CG3253	FBgn0041706	2R:20002189-20003887	young	old	11.0389	6.32039	-0.804509	-1.13237	0.00555	0.0315426
619	CG32544	FBgn0052544	X:18754316-18755033	young	old	40.8588	16.8752	-1.27574	-1.80137	5e-05	0.000618758
620	CG32553	FBgn0052553	X:18018598-18021060	young	old	3.51546	13.4127	1.93182	2.15396	5e-05	0.000618758
621	CG32573	FBgn0052573	X:16545408-16549045	young	old	12.7232	25.4788	1.00184	1.18724	0.00785	0.0412304
622	CG32582	FBgn0052582	X:15729633-15730956	young	old	2.19047	6.90467	1.65633	1.27092	0.0052	0.0300253
623	CG32635	FBgn0265416	X:13339938-13413663	young	old	1.60678	0.536407	-1.58277	-1.49436	6e-04	0.00516159
624	CG32647	FBgn0052647	X:12670604-12678991	young	old	9.22599	15.9632	0.790975	1.16101	0.00515	0.0298248
625	CG32667	FBgn0052667	X:11033789-11034296	young	old	892.798	1568.64	0.813108	1.36276	7e-04	0.00587687
626	CG3267	FBgn0042083	2R:2633889-2636459	young	old	11.8074	19.3607	0.713445	1.25608	0.00205	0.0141858
627	CG32687	FBgn0052687	X:10376060-10380660	young	old	69.2146	110.572	0.675833	1.24025	0.00225	0.0153201
628	CG32694	FBgn0052694	X:9883727-9900918	young	old	12.937	26.6708	1.04376	1.3975	6e-04	0.00516159
629	CG32695	FBgn0052695	X:9767571-9768022	young	old	210.517	392.439	0.898534	1.64975	5e-05	0.000618758
630	CG32937	FBgn0262477	3R:5551738-5552738	young	old	33.748	9.06448	-1.89651	-2.88001	5e-05	0.000618758
631	CG32944	FBgn0052944	3R:233158-241835	young	old	21.1626	13.1251	-0.689186	-1.20044	0.00415	0.0250282
632	CG3295	FBgn0034573	2R:16899476-16904951	young	old	46.8334	27.74	-0.755571	-1.14243	0.00545	0.0311192
633	CG3303	FBgn0038381	3R:11734155-11743526	young	old	28.9525	13.9419	-1.05426	-1.68708	5e-05	0.000618758
634	CG3306	FBgn0036016	3L:9594622-9595648	young	old	4.32341	0.86456	-2.32213	-1.49374	0.00395	0.0241502
635	CG33090	FBgn0028916	2L:14334159-14345802	young	old	26.7732	12.8726	-1.05649	-1.96709	5e-05	0.000618758
636	CG33092	FBgn0053092	3R:17703591-17706418	young	old	10.5442	17.4433	0.726227	1.14889	0.00605	0.0337748
637	CG33099	FBgn0053099	3R:18354641-18356277	young	old	0.927312	3.10439	1.74318	1.40983	0.0016	0.0116934
638	CG33110	FBgn0053110	3R:18395910-18406120	young	old	25.0467	72.7172	1.53767	2.55587	5e-05	0.000618758
639	CG33120	FBgn0053120	2L:18841398-18844557	young	old	27.3693	56.5129	1.04602	1.8824	5e-05	0.000618758
640	CG33145	FBgn0053145	2R:7868085-7870457	young	old	15.9413	10.2219	-0.641105	-1.11737	0.0072	0.0387119
641	CG3321	FBgn0038224	3R:10152668-10153457	young	old	1510.29	764.519	-0.982198	-1.68114	5e-05	0.000618758
642	CG3328	FBgn0034985	2R:20050012-20061150	young	old	2.14067	4.20006	0.972349	1.3637	0.00105	0.0082679
643	CG33296	FBgn0053296	2L:7714068-7716645	young	old	20.2657	12.4502	-0.702869	-1.15574	0.0041	0.0248648
644	CG33301	FBgn0053301	2L:10049481-10050956	young	old	8.57047	2.99751	-1.51561	-1.3442	0.00105	0.0082679
645	CG33303	FBgn0053303	2L:10374185-10375790	young	old	37.3802	66.7205	0.835857	1.58701	5e-05	0.000618758
646	CG33307	FBgn0053307	2L:13835566-13898715	young	old	123.56	382.948	1.63194	1.67675	0.00065	0.00551878
647	CG33460	FBgn0053460	2R:11581596-11582737	young	old	7.14737	26.4753	1.88916	2.38046	5e-05	0.000618758
648	CG33468	FBgn0053468	2R:10493811-10494466	young	old	0.969653	7.58041	2.96674	1.83665	5e-05	0.000618758
649	CG33469	FBgn0053469	2R:10493156-10493774	young	old	0.766091	6.16632	3.00882	2.09414	5e-05	0.000618758
650	CG33474	FBgn0053474	2R:6309737-6310343	young	old	0.65343	3.43701	2.39505	1.28421	0.0016	0.0116934
651	CG33493	FBgn0053493	3L:10685914-10686235	young	old	284.714	433.665	0.607069	1.11739	0.00625	0.0347325
652	CG33509	FBgn0053509	2L:21084604-21086506	young	old	0.66858	2.06343	1.62587	1.22734	0.00255	0.017007
653	CG33521	FBgn0250819	4:1206398-1217466	young	old	49.8792	15.3053	-1.70441	-1.68142	0.00045	0.00405706
654	CG33543	FBgn0053543	2L:1997101-2006307	young	old	34.5355	13.683	-1.33569	-2.45341	5e-05	0.000618758
655	CG33639	FBgn0053639	X:18104844-18120109	young	old	6.07478	2.84329	-1.09527	-1.81578	5e-05	0.000618758
656	CG33713	FBgn0064116	X:21188960-21190299	young	old	107.871	72.4549	-0.57415	-1.09679	0.0073	0.0391203
657	CG33774	FBgn0053774	2R:5286593-5287809	young	old	79.7739	149.209	0.903351	1.18622	0.00415	0.0250282
658	CG33926	FBgn0053926	3L:9436363-9439480	young	old	28.5132	361.842	3.66566	5.11949	5e-05	0.000618758
659	CG3397	FBgn0037975	3R:7808819-7810263	young	old	2.15305	6.06741	1.4947	1.33571	0.00335	0.0211711
660	CG33981	FBgn0250851	2R:13661468-13669417	young	old	20.1294	12.8325	-0.649498	-1.24225	0.0029	0.0188645
661	CG34002	FBgn0054002	3L:17851573-17853582	young	old	0.270684	3.56434	3.71895	2.29468	3e-04	0.00290595
662	CG34035	FBgn0262003	3R:13238733-13239263	young	old	39.6919	520.021	3.71165	3.63232	5e-05	0.000618758
663	CG34054	FBgn0054054	2R:7297314-7297943	young	old	19.1171	102.46	2.42212	3.33402	5e-05	0.000618758
664	CG34134	FBgn0083970	2L:8190296-8190781	young	old	113.023	399.904	1.82303	2.89499	5e-05	0.000618758
665	CG34136	FBgn0083972	2L:21094960-21102392	young	old	34.9212	209.089	2.58194	3.54593	5e-05	0.000618758
666	CG34159	FBgn0085188	2L:10202519-10204320	young	old	62.8227	42.1477	-0.575833	-1.07421	0.00775	0.0408811
667	CG34165	FBgn0085194	2L:14713776-14714355	young	old	89.9921	156.39	0.797274	1.38115	0.00055	0.00479482
668	CG34166	FBgn0085195	2L:14743252-14743859	young	old	1053.91	8562.31	3.02224	3.26961	5e-05	0.000618758
669	CG34172	FBgn0085201	2L:2192524-2193010	young	old	744.51	87.7257	-3.08522	-4.80298	5e-05	0.000618758
670	CG34179	FBgn0085208	2L:6046645-6050474	young	old	156.054	85.0348	-0.875921	-1.3834	0.00075	0.00623234
671	CG34186	FBgn0262954	2R:11032472-11033003	young	old	94.4241	165.998	0.813941	1.34479	0.00105	0.0082679
672	CG34215	FBgn0085244	2R:2715862-2726432	young	old	4.71832	417.977	6.469	1.87171	3e-04	0.00290595
673	CG34227	FBgn0085256	2R:7135630-7136117	young	old	91.7344	6400.43	6.12456	5.74304	5e-05	0.000618758
674	CG34253	FBgn0085282	3L:18079490-18080416	young	old	31.191	49.107	0.654796	1.11176	0.00485	0.0284246
675	CG34291	FBgn0085320	3R:22251044-22254130	young	old	39.4942	89.0634	1.17319	1.11328	0.0067	0.0365877
676	CG34325	FBgn0085354	X:16608479-16620988	young	old	46.5259	73.5085	0.659878	1.18375	0.00375	0.0231448
677	CG34331	FBgn0085360	X:20016489-20017094	young	old	112.749	212.636	0.915271	1.68638	5e-05	0.000618758
678	CG34349	FBgn0266719	3R:20882811-20890070	young	old	11.0586	20.3919	0.882831	1.65526	2e-04	0.00208188
679	CG34351	FBgn0085380	2L:4694720-4722468	young	old	20.3948	10.0734	-1.01765	-1.8227	5e-05	0.000618758
680	CG34353	FBgn0085382	3R:23595331-23659841	young	old	7.75312	3.6107	-1.1025	-1.47884	5e-04	0.00444627
681	CG34370	FBgn0085399	2R:17874572-17927063	young	old	18.3146	7.86561	-1.21937	-2.27269	5e-05	0.000618758
