Affy ID,Q value (Age),Old,Young,Fold Change (Young/Old),Fold Change (Old/Young),FlyBase ID,Symbol,Name
 143000_at,0.04747436,228.5,333.55,1.5,0.7,FBgn0032444,CG5525,---
 143004_at,0.008067045,33.575,71.4375,2.1,0.5,FBgn0043884,mask,multiple ankyrin repeats single KH domain
 143005_at,0.000238844,159.1125,57.4125,0.4,2.8,FBgn0025628,CG4199,---
 143009_s_at,0.01072562,59.825,22.8,0.4,2.6,FBgn0030073,CG10962,---
 143011_at,0.01833997,39.3875,27.3875,0.7,1.4,FBgn0031220,CG4822,---
 143022_at,0.03729326,121.4875,144.35,1.2,0.8,FBgn0038376,CG4225,---
 143026_at,0.04985874,24.5875,13.4625,0.5,1.8,FBgn0039118,CG10208,---
 143037_at,0.0168247,21.475,38.5125,1.8,0.6,FBgn0026370,SRPK,---
 143046_at,0.04003948,109.15,83.675,0.8,1.3,FBgn0033913,CG8468,---
 143058_f_at,0.00017868,2255.425,1673.4125,0.7,1.3,FBgn0000042,Act5C,Actin 5C
 143059_at,0.007318995,345.4875,272.0125,0.8,1.3,FBgn0000043,Act42A,Actin 42A
 143060_f_at,0.001507938,362.9,700.2125,1.9,0.5,FBgn0000045,Act79B,Actin 79B
 143077_at,0.01654825,111.4875,95.425,0.9,1.2,FBgn0000115,Arf72A,Arflike at 72A
 143083_at,0.02102883,18.025,11.625,0.6,1.6,FBgn0000163,baz,bazooka
 143085_at,0.02707352,51.3375,135.5375,2.6,0.4,FBgn0000182,BicC,Bicaudal C
 143093_at,0.009370587,1047.4875,881.55,0.8,1.2,FBgn0000261,Cat,Catalase
 143096_f_at,0.007146277,938.9,314.425,0.3,3.0,FBgn0000276,CecA1,Cecropin A1
 143097_f_at,0.01729134,400.65,118.225,0.3,3.4,FBgn0000277,CecA2,Cecropin A2
 143099_i_at,0.01159485,39.7375,5.075,0.1,7.8,FBgn0000279,CecC,Cecropin C
 143100_f_at,0.003078369,89.6375,19.85,0.2,4.5,FBgn0000279,CecC,Cecropin C
 143105_at,0.04666008,45.6,63.4625,1.4,0.7,FBgn0000346,comt,comatose
 143107_at,0.0013106,571.0375,4078.65,7.1,0.1,FBgn0000355,Cp15,Chorion protein 15
 143108_at,0.002641715,72.7875,1580.3875,21.7,0.0,FBgn0000356,Cp16,Chorion protein 16
 143109_at,0.00090342,86.5375,1753.0625,20.3,0.0,FBgn0000357,Cp18,Chorion protein 18
 143110_at,0.02220434,191.2375,1338.8125,7.0,0.1,FBgn0000358,Cp19,Chorion protein 19
 143112_at,0.04771237,260.2,1518.8625,5.8,0.2,FBgn0000360,Cp38,Chorion protein 38
 143115_at,0.03866902,714.8125,1052.4375,1.5,0.7,FBgn0000409,Cyt-c-p,Cytochrome c proximal
 143120_at,0.02244137,117.525,152.7875,1.3,0.8,FBgn0000426,DebB,Developmental embryonic B
 143121_at,0.005481831,66.35,331.5375,5.0,0.2,FBgn0000427,1-Dec,defective chorion 1
 143130_at,0.03541019,31.2625,26.4375,0.8,1.2,FBgn0000489,Pka-C3,cAMP-dependent protein kinase
 143133_at,0.008156491,35.225,52.875,1.5,0.7,FBgn0000499,dsh,dishevelled
 143142_at,0.00369151,151.125,81.025,0.5,1.9,FBgn0000557,Ef1100E,Elongation factor 1100E
 143143_at,0.03281525,3483.45,3179.05,0.9,1.1,FBgn0000559,Ef2b,Elongation factor 2b
 143151_at,0.001290865,365.0375,286.9875,0.8,1.3,FBgn0000592,Est-6,Esterase 6
 143164_at,0.009512914,20.475,15.9625,0.8,1.3,FBgn0000723,Fps85D,Fps oncogene analog
 143176_at,0.00840093,28.1125,49.575,1.8,0.6,FBgn0053088,CG33088,---
 143181_at,0.006930854,511.5625,395.875,0.8,1.3,FBgn0001145,Gs2,Glutamine synthetase 2
 143184_at,0.03102347,2730.3875,2237.0875,0.8,1.2,FBgn0001149,GstD1,Glutathione S transferase D1
 143186_at,0.002012138,222.6625,123.9375,0.6,1.8,FBgn0001168,h,hairy
 143188_at,0.004538121,31.9375,78.85,2.5,0.4,FBgn0001180,hb,hunchback
 143194_at,0.007007575,1180.1625,923.5375,0.8,1.3,FBgn0001219,Hsc70-4,Heat shock protein cognate 4
 143197_at,0.02680941,29.575,23.4125,0.8,1.3,FBgn0001230,Hsp68,Heat shock protein 68
 143198_at,0.003969171,1246.8625,1970.3625,1.6,0.6,FBgn0001233,Hsp83,Heat shock protein 83
 143200_at,0.02897928,22.7375,17.175,0.8,1.3,FBgn0001250,if,inflated
 143201_at,0.01104339,79.5875,47.575,0.6,1.7,FBgn0001258,ImpL3,Ecdysone-inducible gene L3
 143213_at,0.02298771,189.45,168.2375,0.9,1.1,FBgn0001565,Hlc,Helicase
 143221_at,0.003549989,40.6,22.2375,0.5,1.8,FBgn0001987,Gli,Gliotactin
 143231_at,0.02479697,24.875,43.5125,1.7,0.6,FBgn0002525,Lam,Lamin
 143239_at,0.005694017,141.6625,549.0375,3.9,0.3,FBgn0002565,Lsp2,Larval serum protein 2
 143240_at,0.03963629,48.9375,30.3375,0.6,1.6,---,---,---
 143241_at,0.002893854,111.625,73.8375,0.7,1.5,FBgn0002569,LvpD,Larval visceral protein D
 143242_at,0.001254872,2825.9,1770.425,0.6,1.6,FBgn0002570,LvpH,Larval visceral protein H
 143245_at,0.002582411,241.275,131.3,0.5,1.8,FBgn0002578,m1,E(spl) region transcript m1
 143263_at,0.02760228,440.1125,559.4,1.3,0.8,FBgn0002741,Mhc,Myosin heavy chain
 143271_at,0.003057792,1120.2625,776.0125,0.7,1.4,FBgn0002789,Mp20,Muscle protein 20
 143274_at,0.01211379,208.2875,387.7,1.9,0.5,FBgn0002862,Mst87F,Male-specific RNA 87F
 143275_at,0.02181128,886.9875,2492.8375,2.8,0.4,FBgn0002863,Acp95EF,Accessory gland-specific peptide 95EF
 143276_at,0.008349208,5540.225,2752.4125,0.5,2.0,FBgn0002868,MtnA,Metallothionein A
 143277_at,0.000554863,64.3625,17.275,0.3,3.7,FBgn0002869,MtnB,Metallothionein B
 143281_at,0.01553071,5.9625,15.625,2.6,0.4,FBgn0002926,ndl,nudel
 143288_at,0.01580563,45.675,107.875,2.4,0.4,FBgn0003023,otu,ovarian tumor
 143293_at,0.02352164,27.8625,47.0375,1.7,0.6,FBgn0003041,pbl,pebble
 143316_at,0.02053397,12.9125,23.4625,1.8,0.6,FBgn0003187,qua,quail
 143317_at,0.01433947,101.725,85.475,0.8,1.2,FBgn0003205,Ras85D,Ras oncogene at 85D
 143321_at,0.000334431,236.7625,99.4125,0.4,2.4,FBgn0003250,Rh4,Rhodopsin 4
 143334_at,0.01755578,20.0875,11.2125,0.6,1.8,FBgn0003328,scb,scab
 143342_at,0.01546926,38.35,28.9375,0.8,1.3,FBgn0003366,sev,sevenless
 143361_at,0.004520203,286.9875,213.2625,0.7,1.3,FBgn0003471,Spec,Spectrin
 143363_at,0.03716641,27.75,48.1,1.7,0.6,FBgn0003483,spn-E,spindle E
 143390_at,0.01574726,453.15,346.55,0.8,1.3,FBgn0003887,Tub56D,Tubulin at 56D
 143391_i_at,0.03322863,61.525,23.0375,0.4,2.7,FBgn0003888,Tub60D,Tubulin at 60D
 143392_r_at,0.002400546,246.325,173.1625,0.7,1.4,FBgn0003888,Tub60D,Tubulin at 60D
 143397_at,0.03551779,2284.7,1975.125,0.9,1.2,FBgn0003941,RpL40,Ribosomal protein L40
 143401_at,0.000905288,572.4375,241.7,0.4,2.4,FBgn0003961,Uro,Urate oxidase
 143402_at,0.02117069,23.8125,51.875,2.2,0.5,FBgn0003970,vas,vasa
 143404_at,0.01887707,588.2875,1960.35,3.3,0.3,FBgn0003979,Vm26Aa,Vitelline membrane 26Aa
 143405_at,0.001934592,603.9875,1754.0375,2.9,0.3,FBgn0003980,Vm26Ab,Vitelline membrane 26Ab
 143406_at,0.008028697,585.4375,1716.675,2.9,0.3,FBgn0003983,Vm34Ca,Vitelline membrane 34Ca
 143433_at,0.02606114,645.2375,1227.575,1.9,0.5,FBgn0004172,Mst84Da,Male-specific RNA 84Da
 143437_at,0.003446214,688.7875,1959.225,2.8,0.4,FBgn0011694,PebII,Protein ejaculatory bulb II
 143441_at,0.003665154,81.15,49.1125,0.6,1.7,FBgn0004228,mex1,midgut expression 1
 143442_at,0.006184424,125.1625,283.9875,2.3,0.4,FBgn0004236,Tub67C,Tubulin at 67C
 143443_at,0.01116014,2903.5125,537.7375,0.2,5.4,FBgn0004240,Dpt,Diptericin
 143460_at,0.02078779,1149.2125,861.65,0.7,1.3,FBgn0004403,RpS14a,Ribosomal protein S14a
 143461_at,0.04961606,788.15,620.5625,0.8,1.3,FBgn0004404,RpS14b,Ribosomal protein S14b
 143462_at,0.03054378,4238.6,3663.0125,0.9,1.2,FBgn0004413,RpS26,Ribosomal protein S26
 143479_at,0.000820098,265.1,113.7875,0.4,2.3,FBgn0004552,Akh,Adipokinetic hormone-like
 143498_at,0.0260057,15.8625,11.0125,0.7,1.4,FBgn0004620,GluRIIA,Glutamate receptor IIA
 143504_at,0.004740544,85.8,293.775,3.4,0.3,FBgn0004649,yl,yolkless
 143507_at,0.01462334,114.8125,77.55,0.7,1.5,FBgn0004657,mys,myospheroid
 143519_at,0.02195234,157.0875,201.7625,1.3,0.8,FBgn0004855,RpII15,RNA polymerase II 15kD subunit
 143534_at,0.03062916,24.4125,17.2875,0.7,1.4,FBgn0004910,Eip63F-1,Ecdysone-induced protein 63F 1
 143538_at,0.0239221,35.9125,67.75,1.9,0.5,FBgn0004924,Top1,Topoisomerase 1
 143547_at,0.01828783,757.775,646.35,0.9,1.2,FBgn0005585,Crc,Calreticulin
 143550_at,0.01875396,4324.7375,3718.85,0.9,1.2,FBgn0005593,RpL7,Ribosomal protein L7
 143551_at,0.01526104,42.275,76.4625,1.8,0.6,FBgn0005596,yem,yemanuclein
 143556_at,0.03254431,27.9375,45.2625,1.6,0.6,FBgn0005617,msl-1,male-specific lethal 1
 143561_at,0.03508775,18.8375,38.6125,2.0,0.5,FBgn0005630,lola,longitudinals lacking
 143563_at,0.03466453,76.6,57.075,0.7,1.3,FBgn0005634,zip,zipper
 143582_at,0.0355128,1644.575,1372.6,0.8,1.2,FBgn0010078,RpL23,Ribosomal protein L23
 143588_at,0.01226556,158.65,122.8875,0.8,1.3,FBgn0010228,HmgZ,HMG protein Z
 143597_at,0.02527099,57.1,36.6125,0.6,1.6,FBgn0010333,Rac1,glass multimer reporter construct of Nolan
 143599_at,0.01316073,203.1125,157.9,0.8,1.3,FBgn0010341,Cdc42,Cdc42
 143605_at,0.01574726,1220.4125,481.4375,0.4,2.5,FBgn0010381,Drs,Drosomycin
 143607_at,0.002857583,433.025,73.075,0.2,5.9,FBgn0010385,Def,Defensin
 143609_at,0.01224476,2519.7875,697.9,0.3,3.6,FBgn0010388,Dro,Drosocin
 143616_at,0.0174829,4033.5875,3683.7,0.9,1.1,FBgn0010409,RpL18A,Ribosomal protein L18A
 143619_at,0.02146975,3024.5625,2564.2375,0.8,1.2,FBgn0010412,RpS19a,Ribosomal protein S19a
 143623_at,0.006267432,65.8,41.7625,0.6,1.6,FBgn0010424,TpnC73F,Troponin C at 73F
 143625_at,0.01631165,483.25,412.5625,0.9,1.2,FBgn0010426,Vha14,Vacuolar H<up>+</up> ATPase 14kD subunit
 143627_at,0.003047308,62.9125,34.5625,0.5,1.8,FBgn0010434,cora,coracle
 143636_at,0.02422714,50.3375,36.9375,0.7,1.4,FBgn0011202,dia,diaphanous
 143649_at,0.01384725,3052.4875,2741.5625,0.9,1.1,FBgn0011284,RpS4,Ribosomal protein S4
 143657_at,0.04689939,268.7625,240.55,0.9,1.1,FBgn0011336,OstStt3,Oligosaccharyl transferase 3
 143658_at,0.04460805,422.9875,523.725,1.2,0.8,FBgn0011361,mtacp1,mitochondrial acyl carrier protein 1
 143660_at,0.003992309,122.6375,220.55,1.8,0.6,FBgn0011555,Try,Trypsin
 143663_at,0.00911125,85.875,55.3125,0.6,1.6,FBgn0011584,Trp1,Translocation protein 1
 143667_at,0.03186695,13.725,22.5625,1.6,0.6,FBgn0011604,Iswi,Imitation SWI
 143673_at,0.03866902,28.1125,90.0875,3.2,0.3,FBgn0011670,Mst57Dc,Male-specific RNA 57Dc
 143678_at,0.005356886,2381.7875,1714.1875,0.7,1.4,FBgn0011695,PebIII,Ejaculatory bulb protein III
 143682_at,0.00120477,54.325,26.95,0.5,2.0,FBgn0011722,Tig,Tiggrin
 143690_at,0.03555512,53.7375,39.175,0.7,1.4,FBgn0011769,Fdxh,Ferredoxin
 143702_at,0.00089145,279.525,142.6875,0.5,2.0,FBgn0013272,Gp150,glass multimer reporter construct of Fetchko
 143703_at,0.03082018,41.3875,25.975,0.6,1.6,FBgn0051217,CG31217,---
 143709_at,0.000352391,82.0375,248.3,3.0,0.3,FBgn0013348,TpnC41C,Troponin C at 41C
 143723_at,0.000161728,195.5625,88.9,0.5,2.2,FBgn0013771,Cyp6a9,Cytochrome P450-6a9
 143733_at,0.0168247,685.3625,558.3375,0.8,1.2,FBgn0013981,His4r,Histone H4 replacement
 143735_at,0.002015586,123.5125,74.875,0.6,1.6,FBgn0013987,MAPk-Ak2,MAP kinase activated protein-kinase-2
 143739_at,0.003695956,466.9875,360.775,0.8,1.3,FBgn0014002,Pdi,Protein disulfide isomerase
 143742_at,0.00627926,209.05,174.2125,0.8,1.2,FBgn0014010,Rab5,Rab-protein 5
 143745_at,0.01893579,84.25,104.875,1.2,0.8,FBgn0003275,RpII18,RNA polymerase II 18kD subunit
 143746_at,0.02027415,2981.3875,2413.05,0.8,1.2,FBgn0014026,RpL7A,Ribosomal protein L7A
 143748_at,0.01950209,46.2875,29.7125,0.6,1.6,FBgn0014073,Tie,Tie-like receptor tyrosine kinase
 143749_at,0.009237088,59.5625,397.9875,6.7,0.1,FBgn0014076,Vm32E,Vitelline membrane 32E
 143769_at,0.02767868,249.2875,368.4,1.5,0.7,FBgn0014863,Mlp84B,Muscle LIM protein at 84B
 143770_at,0.007326101,2546.975,844.2625,0.3,3.0,FBgn0014865,Mtk,Metchnikowin
 143777_at,0.02015593,32.3,19.0125,0.6,1.7,FBgn0015011,Ahcy89E,Adenosylhomocysteinase 89E
 143782_at,0.00037429,199.6125,72.575,0.4,2.8,FBgn0015037,Cyp4p1,Cytochrome P450-4p1
 143784_at,0.000724663,2527.025,1482.975,0.6,1.7,FBgn0015221,Fer2LCH,Ferritin 2 light chain homologue
 143785_at,0.02029492,26.1375,36.05,1.4,0.7,FBgn0015230,Glut3,Glucose transporter type 3
 143786_at,0.01154158,150.55,107.675,0.7,1.4,FBgn0015234,HLH106,Helix loop helix protein 106
 143788_at,0.04374766,182.875,153.9,0.8,1.2,FBgn0015276,Pcmt,Protein-L-isoaspartate (D-aspartate) O-methyltransferase
 143797_at,0.04997662,158.95,194.0125,1.2,0.8,FBgn0015320,UbcD2,Ubiquitin conjugating enzyme 2
 143800_at,0.0214265,100.7625,130.5125,1.3,0.8,FBgn0015338,CG5861,---
 143804_at,0.04708104,58.4375,71.7625,1.2,0.8,FBgn0015379,dod,dodo
 143812_at,0.03508775,3757.3,3248.375,0.9,1.2,FBgn0015521,oho23B,overgrown hematopoietic organs at 23B
 143824_at,0.03175752,10.25,21.2,2.1,0.5,FBgn0015583,Acp29AB,Accessory gland-specific peptide 29AB
 143827_at,0.02994886,6.6125,25.525,3.9,0.3,FBgn0015586,Acp76A,Accessory gland-specific peptide 76A
 143830_at,0.02174485,121.9125,149.1875,1.2,0.8,FBgn0015614,CanB2,Calcineurin B2
 143832_at,0.04262009,34.7125,45.075,1.3,0.8,FBgn0015617,Cdk7,Cyclin-dependent kinase 7
 143834_at,0.03454513,128.475,253.675,2.0,0.5,FBgn0015625,CycB3,heat shock construct of Sigrist
 143839_at,0.02029492,67.325,52.9125,0.8,1.3,FBgn0015765,Mpk2,heat shock construct of Han
 143841_at,0.0156517,6.475,3.425,0.5,1.9,FBgn0015773,NetA,Netrin-A
 143843_at,0.04303344,60.35,46.4,0.8,1.3,FBgn0015790,Rab11,Rab-protein 11
 143854_at,0.00621483,83.65,56.3625,0.7,1.5,FBgn0015872,Drip,Drip
 143858_at,0.0204694,33.3375,21.4125,0.6,1.6,FBgn0015924,crq,croquemort
 143870_at,0.0374557,617.725,752.125,1.2,0.8,FBgn0016119,ATPsyn-Cf6,ATPase coupling factor 6
 143872_at,0.03093734,105.9,64.65,0.6,1.6,FBgn0016123,Aph-4,Alkaline phosphatase 4
 143879_at,0.002565274,108.7375,56.65,0.5,1.9,FBgn0016700,Rab1,Rab-protein 1
 143892_at,0.03718241,1810.425,1523.3875,0.8,1.2,FBgn0017545,RpS3A,Ribosomal protein S3A
 143898_at,0.03713665,4797.775,4441.625,0.9,1.1,FBgn0017579,RpL14,Ribosomal protein L14
 143905_at,0.000246495,200.5,117.1,0.6,1.7,FBgn0019940,Rh6,Rhodopsin 6
 143912_at,0.03303601,427.0875,333.25,0.8,1.3,FBgn0020236,ATPCL,ATP citrate lyase
 143913_at,0.02376697,14.5375,29.9875,2.1,0.5,FBgn0052396,CG32396,---
 143925_at,0.03514351,13.375,32.9375,2.5,0.4,FBgn0020399,Mst89B,---
 143930_at,0.04249341,84.8625,308.2375,3.6,0.3,FBgn0020509,Acp62F,Accessory gland peptide 62F
 143945_at,0.000893721,265.1375,180.9625,0.7,1.5,FBgn0020907,Scp2,Sarcoplasmic calcium-binding protein 2
 143951_at,0.02535456,21.3,17.0125,0.8,1.3,FBgn0021818,cnk,connector enhancer of ksr
 143954_at,0.02680941,78.2,116.0375,1.5,0.7,FBgn0022338,dnk,deoxyribonucleoside kinase
 143958_at,0.000797995,1317.575,570.9,0.4,2.3,FBgn0022355,Tsf1,Transferrin 1
 143963_at,0.02897928,25.35,34.9375,1.4,0.7,FBgn0022724,Taf8,TBP-associated factor 8
 143966_at,0.01049863,65.3,85.7625,1.3,0.8,FBgn0022943,Cbp20,cap binding protein 20
 143968_at,0.03185009,7.075,14.6375,2.1,0.5,FBgn0022987,qkr54B,quaking related 54B
 143973_at,0.04036606,104.175,139.55,1.3,0.7,FBgn0023167,SmD3,Small ribonucleoprotein Sm D3
 143974_at,0.01344517,1877.3625,1636.625,0.9,1.1,FBgn0023170,RpL39,Ribosomal protein L39
 143976_at,0.03185009,38.475,53.275,1.4,0.7,FBgn0023177,Pp4-19C,Protein phosphatase 19C
 143979_at,0.003200294,279.5375,213.575,0.8,1.3,FBgn0023211,Elongin-C,Elongin C
 143981_at,0.02075475,17.6375,35.3125,2.0,0.5,FBgn0023395,Chd3,---
 143982_at,0.01717099,210.175,315.6,1.5,0.7,FBgn0013591,Mi-2,armadillo promoter construct of Kehle
 143991_at,0.03087145,26.925,40.0625,1.5,0.7,FBgn0023513,CG14803,---
 143998_at,0.006102559,25.525,17.7625,0.7,1.4,---,---,---
 144016_at,0.01732462,38.8,25.6375,0.7,1.5,FBgn0024320,NPC1,Niemann-Pick Type C-1
 144018_at,0.01450953,170.375,110.6625,0.6,1.5,FBgn0024361,Tsp2A,Tetraspanin 2A
 144019_at,0.04147633,28.9625,56.675,2.0,0.5,FBgn0000826,png,pan gu
 144021_at,0.004531465,30.9875,72.0625,2.3,0.4,FBgn0004650,fs(1)N,female sterile (1) Nasrat
 144029_at,0.04239297,13.775,9.5875,0.7,1.4,FBgn0024912,agt,O-6-alkylguanine-DNA alkyltransferase
 144032_at,0.04965682,3573.2625,3149.175,0.9,1.1,FBgn0024939,RpL8,Ribosomal protein L8
 144040_at,0.01444515,20.6125,13.0875,0.6,1.6,FBgn0024980,Syx4,Syntaxin 4
 144048_at,0.01330386,51.0125,63.7,1.2,0.8,FBgn0024998,CG2685,---
 144063_at,0.0013106,78.0625,36.4,0.5,2.1,FBgn0025456,CREG,Cellular Repressor of E1A-stimulated Genes
 144067_at,0.01202159,40.075,32.5875,0.8,1.2,FBgn0025558,CG4101,---
 144068_at,0.01162248,146.725,72.825,0.5,2.0,FBgn0025583,IM2,Immune induced molecule 2
 144074_at,0.004540249,90.525,60.6875,0.7,1.5,FBgn0025624,CG4025,---
 144076_at,0.01447307,43.475,29.875,0.7,1.5,FBgn0025631,CG4322,---
 144078_at,0.003830836,13.475,32.425,2.4,0.4,FBgn0025635,CG17829,---
 144079_at,0.02941127,330.075,280.575,0.9,1.2,FBgn0025638,Roc1a,Hsp70 promoter construct of Noureddine
 144088_at,0.000395775,91.3875,63.3625,0.7,1.4,FBgn0025682,scf,supercoiling factor
 144094_at,0.02433106,16.2875,10.6,0.7,1.5,FBgn0025800,Smox,Smad on X
 144097_at,0.04425207,402.425,482.725,1.2,0.8,FBgn0025814,Mgstl,Microsomal glutathione S-transferase-like
 144098_at,0.04753502,34.3375,25.3375,0.7,1.4,FBgn0025820,JTBR,---
 144102_at,0.005135293,16.075,34.825,2.2,0.5,FBgn0025832,Fen1,Flap endonuclease 1
 144115_at,0.007965806,538.75,443.5375,0.8,1.2,FBgn0026084,cib,ciboulot
 144118_at,0.02994886,179.4625,140.625,0.8,1.3,FBgn0026088,CG14818,---
 144123_at,0.02278372,17.0375,35.375,2.1,0.5,FBgn0026371,SAK,---
 144140_at,0.01344517,700.85,610.7125,0.9,1.1,FBgn0026409,Mpcp,Mitochondrial phosphate carrier protein
 144142_at,0.001237762,97.4625,49.1875,0.5,2.0,FBgn0026414,Kaz1,---
 144143_at,0.000182871,925.6,548.3875,0.6,1.7,FBgn0026415,Idgf4,Imaginal disc growth factor 4
 144148_at,0.0192153,85.1875,49.1125,0.6,1.7,FBgn0026565,CG1315,---
 144151_at,0.0140437,91.175,71.0125,0.8,1.3,FBgn0026630,nes,nessy
 144152_at,0.03060363,35.15,43.05,1.2,0.8,FBgn0026634,ldlCp,ldlCp-related protein
 144155_at,0.0253705,40.375,50.7875,1.3,0.8,FBgn0026741,mRpL18,mitochondrial ribosomal protein L18
 144156_at,0.02739822,590.625,529.7875,0.9,1.1,FBgn0026753,Vha13,Vacuolar H<up>+</up> ATPase G-subunit
 144160_i_at,0.0131064,657.2,907.825,1.4,0.7,FBgn0011227,ox,oxen
 144161_r_at,0.01313296,1365.4125,1843.875,1.4,0.7,FBgn0011227,ox,oxen
 144164_at,0.04435099,90.975,108.925,1.2,0.8,FBgn0026873,CG14802,---
 144189_at,0.01942346,22.1375,13.3375,0.6,1.7,FBgn0027655,huntingtin,---
 144191_at,0.01164906,303.55,259.7875,0.9,1.2,FBgn0027779,VhaSFD,Vacuolar H<up>+</up>-ATPase SFD subunit
 144194_at,0.006294539,61.4125,33.0625,0.5,1.9,FBgn0027836,Dgp-1,---
 144202_at,0.03070436,39.4,61.9875,1.6,0.6,FBgn0028397,Tob,---
 144223_at,0.002139214,63.925,38.0375,0.6,1.7,FBgn0028515,CG4930,---
 144227_at,0.000902072,432.475,242.05,0.6,1.8,FBgn0028526,CG15293,---
 144230_at,0.01865091,30.925,63.1875,2.0,0.5,FBgn0028531,CG15286,---
 144231_at,0.01275183,138.975,80.1625,0.6,1.7,FBgn0028532,CG7968,---
 144237_at,0.04226035,14.7375,30.45,2.1,0.5,FBgn0028561,sut3,sugar transporter 3
 144243_at,0.00037429,191.0125,105.2125,0.6,1.8,FBgn0028983,Spn6,Serine protease inhibitor 6
 144245_at,0.02158858,132.075,107.1,0.8,1.2,FBgn0028686,Rpt3,---
 144251_at,0.02459327,22.9375,44.825,2.0,0.5,FBgn0028734,Fmr1,sevenless promoter construct of Wan
 144254_at,0.03315773,57.675,45.3,0.8,1.3,FBgn0028789,Doc1,Dorsocross1
 144258_at,0.0204694,31.825,50.3375,1.6,0.6,FBgn0028844,CG15283,---
 144266_at,0.01048927,38.2375,27.175,0.7,1.4,FBgn0028855,CG15282,---
 144285_at,0.04340135,10.05,7.825,0.8,1.3,FBgn0028880,CG15256,---
 144296_at,0.01877831,19.925,35.0375,1.8,0.6,FBgn0028897,CG4935,---
 144311_at,0.01265373,38.3875,26.525,0.7,1.4,FBgn0041713,yellow-c,yellow-c
 144332_at,0.02655002,125.5125,77.175,0.6,1.6,FBgn0028950,CG15255,---
 144335_at,0.01842414,534.6875,708.125,1.3,0.8,FBgn0028967,26-29-p,26-29kD-proteinase
 144336_at,0.03466453,205.5125,195.625,1.0,1.1,FBgn0028968,Cop,coatomer protein
 144350_at,0.005181713,166.1875,109.725,0.7,1.5,FBgn0040383,CG5254,---
 144351_at,0.001545241,111.2875,63.0625,0.6,1.8,FBgn0040382,CG5273,---
 144357_at,0.02158203,16.45,24.7875,1.5,0.7,FBgn0040344,CG3711,---
 144371_at,0.03889996,75.5,91.55,1.2,0.8,FBgn0040362,CG11379,---
 144376_at,0.04402494,33.6875,178.2375,5.3,0.2,FBgn0029568,CG11381,---
 144392_at,0.01003458,62.2625,89.9,1.4,0.7,FBgn0029594,CG14806,---
 144399_at,0.03814839,78.975,62.0375,0.8,1.3,---,---,---
 144407_at,0.007376595,46.05,30.3875,0.7,1.5,FBgn0040377,CG8310,---
 144413_at,0.04374766,8.7375,14.2625,1.6,0.6,FBgn0040333,CG13762,---
 144430_at,0.00806552,86.1,106.2625,1.2,0.8,FBgn0040396,CG3939,---
 144441_at,0.009943561,9.9625,17.9875,1.8,0.6,FBgn0029661,CG16781,---
 144444_at,0.01797846,41.8,55.25,1.3,0.8,FBgn0029665,CG14270,---
 144467_at,0.01123452,16.45,64.2,3.9,0.3,FBgn0029697,CG15570,---
 144468_at,0.03175752,5.9625,49.0375,8.2,0.1,FBgn0041252,Femcoat,Femcoat
 144469_i_at,0.0314512,7.5125,53.225,7.1,0.1,FBgn0052774,CG32774,---
 144503_at,0.009009779,17.7,23.275,1.3,0.8,FBgn0029740,CG12680,---
 144512_at,0.02785804,6.6875,11.075,1.7,0.6,FBgn0029750,CG3323,---
 144519_at,0.02298771,77.975,43.75,0.6,1.8,FBgn0029762,CG3252,---
 144521_at,0.000810422,1102.225,440.0625,0.4,2.5,FBgn0029766,CG15784,---
 144525_at,0.0299926,90.0375,71.8875,0.8,1.3,FBgn0029771,CG12730,---
 144535_at,0.02157521,3269.375,2664.625,0.8,1.2,FBgn0029785,RpL35,Ribosomal protein L35
 144549_at,0.03755349,44.5625,36.5125,0.8,1.2,FBgn0029804,CG3097,---
 144559_at,0.02570508,85.6875,103.175,1.2,0.8,FBgn0029819,CG3016,---
 144572_at,0.0288133,204.825,303.6625,1.5,0.7,FBgn0029838,CG4666,---
 144585_at,0.04150702,57.275,43.625,0.8,1.3,FBgn0029853,CG3781,---
 144594_at,0.01828963,36.9,50.7875,1.4,0.7,FBgn0029866,CG3842,---
 144596_at,0.03249946,265.9125,374.2125,1.4,0.7,---,---,---
 144609_at,0.04130232,5.6,11.3125,2.0,0.5,FBgn0029890,CG4095,---
 144613_at,0.006224387,740.65,523.1875,0.7,1.4,FBgn0029896,CG3168,---
 144615_at,0.02257547,40.9125,33.5375,0.8,1.2,FBgn0029502,COQ7,---
 144635_at,0.01922328,53.3375,40.7375,0.8,1.3,FBgn0029927,CG14430,---
 144640_at,0.02354121,192.05,160.275,0.8,1.2,FBgn0029932,CG4607,---
 144654_at,0.02574443,69.8125,97.625,1.4,0.7,FBgn0016041,Tom40,Translocase of outer membrane 40
 144664_at,0.0497606,225.525,301.7625,1.3,0.7,FBgn0029975,CG1444,---
 144668_at,0.01580563,39.7125,66.65,1.7,0.6,FBgn0029985,CG1531,---
 144675_at,0.002096669,297.1875,242.775,0.8,1.2,FBgn0029994,CG2254,---
 144677_at,0.03889996,67.5875,55.0875,0.8,1.2,FBgn0040319,Gclc,Glutamate-cysteine ligase catalytic subunit
 144699_at,0.03213212,176.825,236.6125,1.3,0.7,FBgn0030038,CG1440,---
 144700_at,0.005442156,551.675,350.4375,0.6,1.6,FBgn0030040,CG15347,---
