ProbeSet,FlyBase_ID,CT_ID,CG_ID,Symbol,"Cluster
{Aging_Girardot}","Cluster
{Body parts_Girardot}","Cluster
{Aging_Landis}","Cluster
{Aging_Pletcher}","Cluster
{SOMsexe_Parisi}",<Cs_Hd_40d/Cs_Hd_3d>
143196_at,FBgn0001229,CT13833,CG4190,Hsp67Bc,0,0,1,0,2,0.69
154999_at,FBgn0011598,CT14722,CG17161,grp,0,2,0,0,2,0.69
154304_at,FBgn0037028,CT12123,CG3618,CG3618,0,2,0,0,6,0.69
150784_at,FBgn0039598,CT33629,CG14061,CG14061,0,12,8,0,5,0.69
152981_at,FBgn0036497,CT23740,CG7815,ran-like,13,12,0,0,5,0.69
152084_at,FBgn0028560,CT3142,CG1380,sut4,13,12,4,0,5,0.69
150941_f_at,FBgn0039843,,CG15567,CG15567,13,0,0,0,-1,0.69
153392_at,FBgn0042174,CT32359,CG18854,CG18854,0,0,0,11,4,0.69
151474_s_at,FBgn0004242,,CG3139,syt,7,5,0,0,7,0.69
152739_at,FBgn0029860,CT34109,CG15891,CG15891,13,12,4,0,-1,0.69
152335_at,FBgn0010452,CT31487,CG11280,trn,0,2,0,0,0,0.69
145978_at,FBgn0031941,CT22239,CG7211,CG7211,13,12,4,0,3,0.69
152716_at,FBgn0035007,CT11747,CG3492,CG3492,13,12,0,0,5,0.69
143944_at,FBgn0020906,CT25434,CG8867,Ser4,14,12,8,0,0,0.69
141564_at,FBgn0037391,CT6391,CG2017,CG2017,14,5,7,0,4,0.69
151543_at,FBgn0052459,CT23699,CG32459,CG32459,13,9,0,0,-1,0.69
151534_at,FBgn0029761,,CG10706,SK,0,3,0,0,0,0.69
148963_at,FBgn0036737,CT19724,CG6298,CG6298,7,11,5,0,4,0.69
147745_at,FBgn0034824,CT10823,CG3219,Klp59C,13,12,0,0,5,0.69
143116_at,FBgn0000411,CT18413,CG5893,D,0,3,0,0,7,0.69
152898_at,FBgn0011716,CT3919,CG1539,spdo,7,5,0,3,0,0.69
148601_at,FBgn0036204,CT36590,CG11611,Tim13,13,12,0,0,7,0.69
149883_at,FBgn0038213,CT27222,CG9624,CG9624,13,12,0,0,3,0.69
146564_at,FBgn0032905,CT40551,CG18078,CG18078,13,9,0,0,-1,0.69
154662_at,FBgn0032222,CT16086,CG5037,CG5037,7,0,4,4,4,0.69
146415_at,FBgn0032654,CT35044,CG15147,CG15147,0,9,4,0,3,0.70
152723_at,FBgn0035975,CT14254,CG32042,PGRP-LA,8,0,0,13,7,0.70
149730_at,FBgn0037987,CT34533,CG14739,CG14739,13,12,4,0,5,0.70
146356_at,FBgn0032553,CT14588,CG4480,CG4480,13,12,4,0,3,0.70
154904_at,FBgn0051132,CT42609,CG31132,CG31132,0,3,0,0,6,0.70
144479_at,FBgn0029711,CT38831,CG17592,Usf,0,2,0,0,8,0.70
148208_at,FBgn0035585,CT1898,CG12027,CG12027,13,12,4,0,5,0.70
147630_at,FBgn0034645,CT28984,CG10320,CG10320,7,0,0,1,4,0.70
142155_at,FBgn0030050,CT6690,CG12111,CG12111,13,12,4,0,3,0.70
151901_at,FBgn0025878,CT19059,CG10382,wrapper,0,2,1,0,7,0.70
152906_at,FBgn0037375,CT2188,CG1193,CG1193,13,0,0,0,3,0.70
144109_at,FBgn0026056,CT35911,CG11622,Rlip,0,2,0,0,6,0.70
152485_at,FBgn0038770,CT15711,CG4961,Indy-2,13,9,4,0,-1,0.70
151514_at,FBgn0051140,CT32985,CG31140,CG31140,0,2,0,0,5,0.70
152209_at,FBgn0030853,CT17956,CG5703,CG5703,0,5,4,0,4,0.70
150593_at,FBgn0039343,CT16403,CG5111,CG5111,13,0,0,0,3,0.70
146793_at,FBgn0033274,CT34559,CG14757,CG14757,0,0,4,0,0,0.70
151375_at,FBgn0040904,CT35694,CG15577,CG15577,13,12,4,0,7,0.70
148287_at,FBgn0035709,CT28485,CG10124,CG10124,13,12,4,0,5,0.70
152260_at,FBgn0026147,CT15001,CG16833,CG16833,0,3,0,0,5,0.70
147093_at,FBgn0033733,CT25406,CG8834,CG8834,8,12,5,16,4,0.70
148467_at,FBgn0035999,CT11946,CG3552,CG3552,13,12,0,0,5,0.70
152707_at,FBgn0034655,CT28947,CG10307,CG10307,14,0,0,0,5,0.70
151132_at,FBgn0040648,CT35515,CG11666,CG11666,13,12,4,0,7,0.70
145811_at,FBgn0031684,CT13926,CG8680,CG8680,7,0,4,1,4,0.70
145905_at,FBgn0031826,CT27016,CG9550,CG9550,13,0,0,0,3,0.70
152504_at,FBgn0014869,CT4904,CG1721,Pglym78,14,0,0,0,4,0.70
152778_at,FBgn0039872,CT7230,CG2196,CG2196,0,12,0,13,7,0.70
147181_at,FBgn0033893,CT41759,CG18371,CG18371,13,0,0,0,3,0.70
152175_at,FBgn0036931,CT33792,CG14183,CG14183,13,9,0,0,3,0.70
151195_i_at,FBgn0040718,CT35362,CG15353,CG15353,7,0,5,0,0,0.70
145698_at,FBgn0031517,CT35465,CG15406,CG15406,0,12,0,0,7,0.70
152841_at,FBgn0038774,CT16114,CG5023,CG5023,14,11,5,0,0,0.70
150166_at,FBgn0038656,CT33923,CG14294,CG14294,0,9,4,0,3,0.70
152849_at,FBgn0040093,CT4590,CG1656,lectin-46Ca,4,12,4,0,5,0.70
145983_at,FBgn0031946,CT22119,CG7164,CG7164,0,9,4,0,5,0.70
147606_at,FBgn0034601,CT14051,CG4286,CG4286,13,12,0,0,3,0.70
144187_at,FBgn0027546,CT15239,CG4766,CG4766,0,3,0,0,0,0.70
147807_at,FBgn0034907,CT17534,CG5539,CG5539,0,12,4,0,5,0.70
143095_at,FBgn0000274,CT4596,CG12066,Pka-C2,13,9,0,0,3,0.70
152305_at,FBgn0033249,CT31260,CG11191,CG11191,0,3,0,0,6,0.70
147406_at,FBgn0034289,CT30545,CG10910,CG10910,4,7,0,0,4,0.70
146329_at,FBgn0032503,CT35814,CG16825,CG16825,13,12,0,0,3,0.70
152033_at,FBgn0034566,CT26509,CG9313,CG9313,13,9,0,0,5,0.70
154352_at,FBgn0027499,CT23297,CG12340,CG12340,0,2,0,0,6,0.71
150413_at,FBgn0039041,CT33345,CG13838,CG13838,13,9,6,0,3,0.71
150584_at,FBgn0051087,CT29604,CG31087,CG31087,13,0,0,0,-1,0.71
144095_at,FBgn0025801,CT17580,CG9580,Sdic,13,0,0,0,0,0.71
148937_at,FBgn0036705,CT33189,CG13723,CG13723,13,12,4,0,7,0.71
154154_at,FBgn0037710,CT26665,CG9393,CG9393,0,8,0,0,6,0.71
147672_at,FBgn0034721,CT31529,CG11298,CG11298,0,12,0,0,0,0.71
145177_at,FBgn0030733,,CG3560,CG3560,14,0,4,0,4,0.71
148255_at,FBgn0035667,CT29408,CG10475,CG10475,0,12,5,0,4,0.71
152285_at,FBgn0051475,CT12576,CG31475,CG31475,0,2,0,0,7,0.71
150179_at,FBgn0038678,CT33911,CG14283,mRpL55,0,2,0,0,6,0.71
145738_at,FBgn0051958,CT28219,CG31958,CG31958,0,12,0,0,-1,0.71
154269_at,FBgn0010100,CT5284,CG9244,Acon,14,0,4,0,0,0.71
144907_at,FBgn0030356,CT41084,CR32661,CR32661,13,12,0,0,5,0.71
146569_at,FBgn0032913,CT5264,CG9259,CG9259,0,12,5,0,4,0.71
153391_at,FBgn0028544,CT25718,CG16884,CG16884,13,0,0,0,4,0.71
147073_at,FBgn0033706,CT32408,CG13167,CG13167,13,0,0,0,5,0.71
143365_at,FBgn0003499,CT23724,CG7847,sr,0,1,0,0,1,0.71
144438_at,FBgn0029658,CT33892,CG14269,CG14269,0,9,0,0,3,0.71
152894_at,FBgn0004381,CT22483,CG7293,Klp68D,0,2,0,0,0,0.71
149157_at,FBgn0037039,CT29686,CG10587,CG10587,0,12,5,7,3,0.71
148293_at,FBgn0035724,CT28331,CG10064,CG10064,0,12,4,0,3,0.71
142495_at,FBgn0025111,CT4708,CG1683,Ant2,13,12,4,0,0,0.71
151523_s_at,FBgn0051465,,CG31465,CG31465,13,12,4,0,-1,0.71
152229_at,FBgn0038952,CT21853,CG7069,CG7069,13,12,0,0,5,0.71
153168_at,FBgn0021967,CT9259,CG8844,Pdsw,7,0,0,0,0,0.71
144908_at,FBgn0030358,CT29110,CG10362,CG10362,0,2,0,0,3,0.71
146913_at,FBgn0033468,CT3354,CG1418,CG1418,0,12,4,0,3,0.71
145749_at,FBgn0031591,CT35487,CG15425,CG15425,0,12,0,0,3,0.71
151518_at,FBgn0015229,CT20464,CG6575,glec,0,6,0,0,0,0.71
148674_at,FBgn0036311,CT39001,CG17666,CG17666,13,9,4,0,5,0.71
141569_at,FBgn0039122,CT28675,CG10192,CG10192,13,0,4,0,5,0.71
151726_at,FBgn0050104,CT15539,CG30104,CG30104,0,8,0,0,-1,0.71
149443_at,FBgn0037500,CT39966,CG17944,CG17944,13,9,4,0,3,0.72
144859_at,FBgn0030283,CT35125,CG15198,CG15198,0,12,4,0,5,0.72
148150_at,FBgn0035505,CT34857,CG15004,CG15004,7,0,0,0,7,0.72
142305_at,FBgn0003093,CT4834,CG1954,Pkc98E,0,6,0,0,6,0.72
142482_at,FBgn0020503,CT15940,CG5020,CLIP-190,0,2,0,0,3,0.72
150719_at,FBgn0039498,CT40199,CG17991,CG17991,13,12,4,0,3,0.72
142436_at,FBgn0051248,CT8161,CG31248,CG31248,0,12,8,0,-1,0.72
144400_at,FBgn0040390,CT33606,CG14047,CG14047,0,2,0,0,0,0.72
147162_at,FBgn0033861,CT32655,CG12464,CG12464,13,0,0,0,3,0.72
151763_at,FBgn0033484,CT7565,CG2269,CG2269,0,1,0,0,7,0.72
144607_at,FBgn0029887,CT10731,CG3198,CG3198,0,6,0,13,6,0.72
150056_at,FBgn0038488,CT37052,CG11896,CG11896,13,0,0,0,5,0.72
152387_at,FBgn0027544,CT6804,CG2217,CG2217,0,3,0,0,6,0.72
152802_at,FBgn0051203,CT35890,CG31203,CG31203,0,2,0,0,7,0.72
149073_at,FBgn0036905,CT33692,CG14101,CG14101,0,8,4,0,5,0.72
141349_at,FBgn0036945,CT21613,CG6981,CG6981,3,12,0,13,4,0.72
144933_at,FBgn0030386,CT8709,CG2574,CG2574,13,12,4,0,3,0.72
152803_at,FBgn0031423,CT11964,CG3557,CG3557,0,12,0,0,3,0.72
152486_at,FBgn0032219,CT16036,CG4995,CG4995,13,12,0,0,5,0.72
151171_at,FBgn0040694,CT34821,CG14974,CG14974,13,9,6,0,7,0.72
142879_at,FBgn0010583,CT42218,CG3727,dock,0,2,0,0,6,0.72
152776_at,FBgn0030247,CT35139,CG15208,CG15208,13,12,4,0,3,0.72
153032_at,FBgn0040896,CT34585,CG14775,CG14775,0,3,0,0,-1,0.72
148193_at,FBgn0035565,CT8014,CG7474,CG7474,13,12,0,0,-1,0.72
143002_at,FBgn0052627,CT31897,CG32627,CG32627,14,0,0,0,-1,0.72
148589_at,FBgn0036183,CT19063,CG6083,CG6083,14,0,0,0,3,0.72
142311_at,FBgn0017456,CT38809,CG12799,Ubc84D,13,12,4,0,3,0.72
147304_at,FBgn0034121,CT42653,CG6262,CG6262,13,12,4,0,5,0.72
145169_at,FBgn0030721,CT35733,CG12698,CG12698,13,0,0,0,3,0.72
148196_at,FBgn0035571,CT33172,CG12493,CG12493,0,12,0,0,3,0.72
149270_at,FBgn0037226,CT34416,CG14644,CG14644,13,12,0,0,3,0.72
151913_at,FBgn0028374,CT19888,CG6371,hug,0,2,0,0,1,0.72
152744_at,FBgn0035032,CT15135,CG4692,CG4692,14,0,0,0,0,0.72
152269_at,FBgn0030883,CT23646,CG7772,CG7772,7,0,0,0,3,0.72
151093_at,FBgn0040608,CT33866,CG14246,CG14246,14,0,0,0,-1,0.72
142172_at,FBgn0028497,,CG3530,CG3530,0,2,0,0,0,0.72
142680_at,FBgn0035952,CT16863,CG5280,CG5280,13,12,0,0,3,0.72
150980_at,FBgn0039909,CT6146,CG1970,CG1970,0,0,4,0,4,0.72
150011_at,FBgn0038423,CT28975,CG10317,CG10317,0,12,4,0,5,0.72
146205_at,FBgn0032313,CT33640,CG14070,CG14070,13,11,0,0,3,0.72
147587_at,FBgn0034563,CT35833,CG15649,CG15649,13,11,8,0,0,0.72
145578_at,FBgn0031335,CT17332,CG5565,CG5565,13,9,0,0,3,0.73
152272_at,FBgn0026438,CT10234,CG3159,Eaat2,14,3,0,0,9,0.73
143403_at,FBgn0003975,CT12801,CG3830,vg,13,5,0,0,7,0.73
148955_at,FBgn0036726,CT23209,CG7603,CG7603,7,0,0,0,9,0.73
144046_at,FBgn0024995,CT9081,CG2680,CG2680,0,12,0,0,7,0.73
144969_at,FBgn0030429,CT4263,CG4661,CG4661,13,0,0,0,3,0.73
142950_at,FBgn0028533,CT23898,CG7953,CG7953,8,12,5,0,4,0.73
148831_at,FBgn0036542,CT19189,CG6112,CG6112,7,5,0,0,7,0.73
152942_at,FBgn0033900,CT24479,CG8257,CG8257,0,11,4,0,5,0.73
148125_at,FBgn0064227,CT34823,CG14975,Rdh,0,6,0,0,-1,0.73
149664_at,FBgn0037862,CT15177,CG4706,CG4706,13,12,4,0,5,0.73
153001_at,FBgn0039667,CT6431,CG2010,CG2010,14,5,0,0,9,0.73
146186_at,FBgn0032291,CT38042,CG17118,CG17118,0,12,4,0,7,0.73
152372_at,FBgn0050118,CT17532,CG30118,CG30118,0,0,0,1,4,0.73
145981_at,FBgn0031944,CT22211,CG7196,CG7196,13,11,0,0,5,0.73
141311_at,FBgn0036901,CT25252,CG8756,CG8756,14,0,0,0,9,0.73
148520_at,FBgn0036082,CT24168,CG12362,CG12362,13,12,4,0,5,0.73
152391_at,FBgn0039797,CT3002,CG1340,CG1340,13,9,4,0,0,0.73
148612_at,FBgn0036217,CT18549,CG5906,CG5906,0,12,4,0,3,0.73
148207_at,FBgn0035584,CT33160,CG17030,CG17030,13,9,0,0,5,0.73
151653_at,FBgn0000114,CT19690,CG31762,aret,0,9,0,0,0,0.73
143472_at,FBgn0004449,CT16449,CG5723,Ten-m,0,3,0,0,3,0.73
148797_at,FBgn0036490,CT21340,CG6888,CG6888,13,12,4,0,3,0.73
150875_at,FBgn0051028,CT6332,CG31028,CG31028,0,2,0,0,-1,0.73
147189_at,FBgn0033907,CT24611,CG8338,mRpS16,0,0,0,6,0,0.73
146288_at,FBgn0032435,CT20028,CG6417,CG6417,0,10,0,0,7,0.73
141442_at,FBgn0036174,CT19193,CG6110,CG6110,0,0,4,0,3,0.73
145692_at,FBgn0031505,CT27284,CG12400,CG12400,7,0,4,0,9,0.73
152488_at,FBgn0040502,CT4872,CG8343,CG8343,4,9,0,0,4,0.73
150617_at,FBgn0039373,CT16147,CG5024,CG5024,13,12,0,0,3,0.73
141226_at,FBgn0038293,CT21366,CG6904,CG6904,7,0,0,0,4,0.74
153134_at,FBgn0017567,CT10971,CG3944,ND23,0,0,4,0,4,0.74
149615_at,FBgn0037788,CT13118,CG3940,CG3940,14,0,5,0,4,0.74
153838_at,FBgn0032908,CT3707,CG9270,CG9270,0,9,0,0,7,0.74
152342_at,FBgn0051038,CT23808,CG31038,CG31038,0,2,0,0,0,0.74
147410_at,FBgn0034295,CT30551,CG10911,CG10911,0,10,0,0,4,0.74
146546_at,FBgn0032867,CT35556,CG15475,CG15475,13,12,4,5,3,0.74
148964_at,FBgn0036738,CT23081,CG7542,CG7542,14,12,5,3,4,0.74
143861_at,FBgn0015933,CT7010,CG2146,didum,0,2,0,0,6,0.74
154972_at,FBgn0037664,CT24697,CG8420,CG8420,13,12,8,0,0,0.74
143635_at,FBgn0010808,CT4906,CG1715,l(3)03670,7,0,0,0,9,0.74
153077_at,FBgn0033347,CT8611,CG8248,CG8248,0,2,0,0,7,0.74
150186_at,FBgn0038694,CT16693,CG5217,CG5217,13,12,4,0,5,0.74
152180_at,FBgn0038607,CT23139,CG7669,CG7669,13,0,0,0,3,0.74
151698_at,FBgn0031119,CT5426,CG1812,CG1812,0,2,0,0,6,0.74
143714_at,FBgn0013725,CT28451,CG10108,phyl,0,2,0,0,0,0.74
145464_at,FBgn0031163,CT34314,CG14579,CG14579,13,12,4,0,7,0.74
152645_at,FBgn0031690,CT23541,CG7742,CG7742,13,12,4,0,5,0.74
143828_at,FBgn0015589,CT3529,CG1451,Apc,0,3,0,0,7,0.74
152378_at,FBgn0036016,CT11079,CG3306,CG3306,0,12,4,0,3,0.74
151817_at,FBgn0036022,CT24571,CG8329,CG8329,4,9,0,0,4,0.74
150106_at,FBgn0038556,CT22533,CG7321,Rim,0,3,0,0,7,0.74
147871_at,FBgn0035022,CT31865,CG11413,CG11413,7,0,0,0,0,0.74
151850_at,FBgn0029876,CT13158,CG3960,CG3960,0,6,0,11,9,0.74
143660_at,FBgn0011555,CT25994,CG12385,thetaTry,0,12,5,0,4,0.74
150650_at,FBgn0039413,CT34287,CG14556,CG14556,13,0,0,0,3,0.74
154403_at,FBgn0038815,CT16675,CG5466,CG5466,0,2,0,0,0,0.74
153395_at,FBgn0000229,CT17924,CG5680,bsk,0,2,0,11,7,0.74
149329_at,FBgn0037323,CT9025,CG2663,CG2663,13,11,8,0,9,0.74
141555_at,FBgn0031574,CT13163,CG3964,CG3964,13,0,0,0,5,0.74
153282_at,FBgn0035896,CT21627,CG6983,CG6983,7,0,0,6,7,0.74
147727_at,FBgn0034800,CT12610,CG3788,CG3788,13,12,4,0,5,0.74
151286_at,FBgn0040812,CT25256,CG8750,CG8750,13,0,0,0,3,0.74
149928_at,FBgn0038281,CT12845,CG3843,CG3843,13,12,0,0,3,0.74
143606_at,FBgn0010383,CT20826,CG6816,Cyp18a1,7,0,0,13,6,0.74
144450_at,FBgn0023215,CT32615,CG13316,Mnt,7,5,0,0,0,0.74
151887_at,FBgn0042627,CT11835,CG3524,v(2)k05816,0,12,0,13,4,0.74
152823_at,FBgn0036403,CT20682,CG6661,CG6661,13,12,0,0,3,0.74
153409_at,FBgn0004587,CT41998,CG10851,B52,0,2,0,0,6,0.74
143132_at,FBgn0000497,CT39575,CG17941,ds,0,2,0,0,0,0.75
146170_at,FBgn0032269,CT22661,CG7363,CG7363,13,9,4,0,5,0.75
152747_at,FBgn0011828,CT1239,CG12002,Pxn,7,2,0,0,7,0.75
152489_at,FBgn0029584,CT36379,CG11509,CG11509,0,2,0,0,0,0.75
144260_at,FBgn0028848,CT22241,CG7311,CG7311,13,12,0,0,5,0.75
142598_at,FBgn0039010,CT15766,CG4907,CG4907,13,0,0,0,3,0.75
150165_at,FBgn0038655,CT33927,CG14297,CG14297,13,9,4,0,5,0.75
143164_at,FBgn0000723,CT37271,CG8874,Fps85D,0,1,0,0,7,0.75
145935_at,FBgn0031878,CT26242,CG9188,sip2,13,9,4,0,5,0.75
152738_at,FBgn0027948,CT16014,CG5000,msps,0,2,0,0,6,0.75
152436_at,FBgn0039419,CT19320,CG12290,CG12290,0,0,0,13,7,0.75
149559_at,FBgn0026188,CT24342,CG8144,ps,0,0,4,0,0,0.75
152973_at,FBgn0030745,CT13936,CG4239,CG4239,14,5,0,0,0,0.75
154816_at,FBgn0000667,CT14163,CG4376,Actn,14,6,0,0,4,0.75
144161_r_at,FBgn0011227,CT25278,CG8764,ox,7,0,4,0,4,0.75
143301_at,FBgn0003075,CT10484,CG3127,Pgk,14,0,0,0,0,0.75
148912_at,FBgn0036656,CT32244,CG13026,CG13026,14,0,0,0,9,0.75
143890_at,FBgn0017448,CT7152,CG2187,CG2187,0,9,8,0,0,0.75
151992_at,FBgn0037302,CT28765,CG10233,CG10233,0,4,0,0,9,0.75
147043_at,FBgn0033659,CT41094,CG18188,Damm,8,0,1,0,7,0.75
146344_at,FBgn0032530,CT26206,CG9263,CG9263,13,12,4,0,5,0.75
155152_at,FBgn0032295,CT20132,CG12299,CG12299,0,2,0,0,6,0.75
154730_at,FBgn0034618,CT26790,CG9485,CG9485,14,0,8,8,4,0.75
150859_at,FBgn0039723,CT35635,CG15522,CG15522,0,2,0,0,7,0.75
146350_s_at,FBgn0032538,,CG16885,CG16885,14,0,0,0,4,0.75
143043_s_at,FBgn0037810,CT34462,CG12819,sle,13,0,0,0,2,0.75
144921_at,FBgn0030374,CT35974,CG15734,CG15734,0,12,0,0,7,0.75
154420_at,FBgn0005771,CT14619,CG4491,noc,0,2,0,0,7,0.75
153429_at,FBgn0030317,CT4048,CG1561,CG1561,0,4,0,0,4,0.75
147976_at,FBgn0035218,CT26226,CG9173,CG9173,13,0,4,0,3,0.75
143243_at,FBgn0002571,CT6552,CG8695,LvpL,0,12,5,0,4,0.75
152976_at,FBgn0037962,CT21591,CG6971,CG6971,0,12,0,0,3,0.75
151586_at,FBgn0037188,CT22651,CG7369,CG7369,0,2,0,0,-1,0.75
148160_at,FBgn0035517,CT2591,CG1265,CG1265,14,0,0,0,7,0.75
145368_at,FBgn0031021,CT10825,CG12203,CG12203,14,0,0,1,4,0.75
149594_at,FBgn0037764,CT26804,CG9459,CG9459,0,12,8,12,7,0.75
152424_at,FBgn0003071,CT13302,CG4001,Pfk,14,0,0,0,4,0.75
150118_at,FBgn0038575,CT22243,CG7208,CG7208,13,12,4,0,6,0.75
147804_at,FBgn0034904,CT15511,CG15800,CG15800,0,12,0,0,3,0.75
152237_at,FBgn0038301,CT20636,CG6654,CG6654,0,2,0,0,6,0.75
153834_at,FBgn0034750,CT9589,CG3732,CG3732,0,2,0,0,1,0.75
146587_at,FBgn0032947,CT34147,CG17571,CG17571,0,12,5,0,4,0.75
151540_at,FBgn0003710,CT2316,CG1232,tipE,13,0,0,0,7,0.75
147872_at,FBgn0035029,CT15085,CG4681,IFa,0,8,0,0,3,0.75
142274_at,FBgn0035568,CT41906,CG18418,CG18418,13,12,4,0,5,0.76
142116_at,FBgn0038098,CT22687,CG7381,CG7381,0,0,0,6,7,0.76
142467_at,FBgn0001402,CT23996,CG7981,trol,0,5,0,0,9,0.76
146557_at,FBgn0032894,CT34051,CG14402,CG14402,0,0,4,0,3,0.76
150384_at,FBgn0051159,CT21523,CG31159,CG31159,13,12,0,0,-1,0.76
152371_at,FBgn0039081,CT14264,CG4370,Irk2,4,0,0,16,4,0.76
146738_at,FBgn0033168,CT4740,CG11145,CG11145,0,12,4,0,3,0.76
144484_at,FBgn0029717,CT35549,CG12684,CG12684,0,12,0,0,3,0.76
146081_at,FBgn0032111,CT32347,CG13110,CG13110,13,12,0,0,3,0.76
152044_at,FBgn0032129,CT32352,CG4405,jp,0,5,0,0,0,0.76
152565_at,FBgn0038294,CT21060,CG6803,CG6803,7,0,0,16,9,0.76
141341_at,FBgn0033848,CT32649,CG13330,CG13330,13,0,0,0,5,0.76
151650_at,FBgn0037731,CT42336,CG18542,CG18542,0,2,0,0,6,0.76
147152_at,FBgn0019928,CT15475,CG4812,Ser8,0,12,5,0,4,0.76
149913_at,FBgn0038255,CT23083,CG7552,CG7552,0,5,0,0,0,0.76
145998_at,FBgn0031968,CT22299,CG7231,CG7231,0,0,8,0,7,0.76
141280_at,FBgn0032681,CT28883,CG10283,CG10283,0,2,0,0,7,0.76
153348_at,FBgn0035600,CT15355,CG4769,CG4769,14,0,4,1,9,0.76
149895_at,FBgn0038230,CT34659,CG14843,CG14843,0,2,0,0,0,0.76
153261_at,FBgn0034230,CT15585,CG4853,CG4853,0,2,0,0,6,0.76
147528_at,FBgn0034483,CT33392,CG16894,CG16894,13,0,0,0,3,0.76
145851_r_at,FBgn0051645,CT33558,CG31645,CG31645,0,5,0,0,0,0.76
142375_at,FBgn0032072,CT26860,CG9483,CG9483,13,12,0,0,0,0.76
143497_at,FBgn0004619,CT24725,CG8442,Glu-RI,0,2,0,0,7,0.76
150197_at,FBgn0038706,CT11863,CG3517,CG3517,13,12,0,0,5,0.76
148570_at,FBgn0036154,CT19374,CG6168,CG6168,0,12,0,0,3,0.76
144230_at,FBgn0028531,CT35234,CG15286,CG15286,13,12,0,0,5,0.76
145961_at,FBgn0031920,CT19027,CG6441,CG6441,13,12,4,0,3,0.76
143023_at,FBgn0033243,CT34566,CG14763,CG14763,13,12,0,0,3,0.76
142640_at,FBgn0031343,CT40834,CG18131,CG18131,13,9,0,0,0,0.76
148698_at,FBgn0036345,CT38236,CG17300,CG17300,0,11,0,0,3,0.76
151471_at,FBgn0040068,CT23780,CG7893,vav,0,3,0,0,6,0.76
152557_at,FBgn0037610,CT24147,CG8043,CG8043,13,11,4,0,5,0.76
154227_at,FBgn0036579,CT16149,CG5027,CG5027,0,2,0,0,6,0.76
153378_at,FBgn0000299,CT12803,Cg25C,Cg25C,13,0,0,0,0,0.76
152897_at,FBgn0036422,CT12881,CG3868,CG3868,0,11,8,16,4,0.76
145579_at,FBgn0051659,CT33980,CG31659,CG31659,0,12,8,0,-1,0.76
151713_at,FBgn0029123,CT37434,CG18024,SoxN,0,2,0,0,0,0.77
152187_at,FBgn0038224,CT11157,CG3321,CG3321,14,0,4,0,4,0.77
146202_at,FBgn0032310,CT33648,CG17086,CG17086,7,0,0,0,7,0.77
150031_at,FBgn0038450,CT38785,CG17560,CG17560,0,12,0,11,9,0.77
148145_at,FBgn0035497,CT34848,CG14995,CG14995,13,0,0,0,5,0.77
148673_at,FBgn0036310,CT30725,CG10969,CG10969,0,0,4,0,0,0.77
146015_at,FBgn0032003,CT24559,CG8349,CG8349,13,12,0,0,3,0.77
144306_at,FBgn0028915,CT23067,CG7532,CG7532,14,10,0,0,9,0.77
143665_at,FBgn0011592,CT24981,CG8581,fra,0,2,0,0,7,0.77
146085_at,FBgn0032115,CT14442,CG4438,CG4438,0,12,0,0,7,0.77
151376_at,FBgn0040905,CT35695,CG15578,CG15578,0,0,4,0,3,0.77
151986_at,FBgn0051550,CT8901,CG31550,CG31550,0,2,0,0,0,0.77
151478_at,FBgn0017645,CT13989,CG7462,Ank2,0,2,0,0,-1,0.77
154772_at,FBgn0033782,CT12863,CG3850,sug,7,0,8,13,7,0.77
152878_at,FBgn0033654,CT25850,CG8991,CG8991,0,6,0,0,7,0.77
150977_at,FBgn0025704,CT6738,CG2165,CG2165,13,0,0,0,4,0.77
141399_at,FBgn0020506,CT24427,CG8221,Amyrel,0,12,0,0,4,0.77
155106_at,FBgn0038401,CT18315,CG5916,CG5916,0,2,0,0,6,0.77
144219_at,FBgn0001989,CT32490,CG13240,l(2)35Di,7,0,4,0,-1,0.77
154088_at,FBgn0033381,CT36879,CG11784,CG11784,7,0,0,0,6,0.77
147524_at,FBgn0034478,CT30326,CG10822,CG10822,13,9,0,0,3,0.77
153509_at,FBgn0015587,CT38657,CG17484,p120ctn,0,2,0,0,3,0.77
151865_at,FBgn0035855,CT22689,CG7366,CG7366,13,12,0,0,5,0.77
148400_at,FBgn0035886,CT22011,CG7118,CG7118,0,0,0,4,0,0.77
144356_at,FBgn0029539,CT34392,CG11663,CG11663,13,12,4,0,3,0.77
151712_at,FBgn0031097,,CG17052,CG17052,14,0,8,0,9,0.77
144572_at,FBgn0029838,CT15013,CG4666,CG4666,0,12,8,0,4,0.77
152397_at,FBgn0051155,CT20447,CG31155,Rpb7,0,2,0,0,-1,0.77
144888_at,FBgn0030319,CT8521,CG2533,CG2533,13,12,4,5,5,0.77
142666_at,FBgn0038926,CT32765,CG13409,CG13409,0,2,0,0,7,0.77
152434_at,FBgn0051004,CT5150,CG31004,CG31004,8,10,0,0,4,0.77
143852_at,FBgn0015831,CT2644,CG1279,Tml84D,13,12,4,0,3,0.77
141621_at,FBgn0034180,CT35745,CG15609,CG15609,7,0,0,0,7,0.77
143425_at,FBgn0004102,CT8467,CG12154,oc,0,2,0,0,7,0.77
141451_at,FBgn0035026,CT15027,CG12252,CG12252,0,2,0,0,6,0.77
144272_at,FBgn0028862,CT35214,CG15267,CG15267,0,2,0,0,7,0.77
147284_at,FBgn0034082,CT30089,CG10734,CG10734,13,9,0,0,5,0.77
