FlyBase ID,Chromosome,Gene Category,Gene Symbol,P-Value Population,"FDR
Population","P-Value
Age","FDR
Age","P-Value
Pop×Age","FDR
Pop×Age","P-Value
Line(Pop)","FDR
Line(Pop)","B
Mean","O
Mean","Week 1
Mean","Week 5
Mean","B Week 1
Mean","B Week 5
Mean","O Week 1
Mean","O Week 5
Mean",SNP From Divergence,"Minimum P-Value
From Divergence"
FBgn0030701,X,protein_coding,CG16952,1.07E-01,3.13E-01,1.30E-01,1.82E-01,3.60E-02,9.79E-02,4.43E-01,5.40E-01,458.23,438.81,456.79,440.25,478.16,438.29,435.41,442.21,,
FBgn0030703,X,protein_coding,MSBP,9.38E-01,9.72E-01,2.89E-01,3.64E-01,5.80E-04,3.65E-03,4.31E-04,2.60E-03,"4,666.52","4,648.65",4605.51,4709.66,"4,427.67","4,905.38","4,783.36","4,513.95",,
FBgn0030704,X,protein_coding,CG15916,1.80E-02,1.20E-01,8.60E-01,8.88E-01,3.15E-01,4.90E-01,5.79E-01,6.56E-01,177.07,194.14,186.17,185.04,174.41,179.73,197.93,190.36,,
FBgn0030706,X,protein_coding,CG8909,1.47E-02,1.07E-01,2.13E-10,1.65E-09,6.49E-04,3.99E-03,1.16E-01,1.93E-01,959.37,878.92,1011.93,826.35,"1,089.07",829.66,934.79,823.05,,
FBgn0030707,X,protein_coding,CG8916,7.46E-01,8.77E-01,7.12E-04,1.59E-03,6.90E-01,8.09E-01,5.12E-01,5.97E-01,21.83,22.38,25.36,18.85,25.43,18.23,25.29,19.47,,
FBgn0030710,X,protein_coding,CG8924,2.32E-01,4.81E-01,2.49E-01,3.21E-01,1.87E-01,3.40E-01,2.33E-05,2.51E-04,112.64,58.32,76.49,94.46,93.34,131.93,59.65,57,,
FBgn0030711,X,protein_coding,Rrp47,4.47E-01,6.76E-01,2.29E-05,6.57E-05,2.57E-01,4.25E-01,6.77E-02,1.28E-01,143.96,149.09,135.35,157.70,130.23,157.69,140.47,157.72,,
FBgn0030715,X,protein_coding,Or13a,3.65E-01,6.07E-01,4.39E-03,8.51E-03,1.87E-01,3.40E-01,6.50E-03,2.12E-02,7.66,5.89,8.31,5.25,9.86,5.46,6.76,5.03,,
FBgn0030716,X,protein_coding,CG9170,1.95E-01,4.37E-01,1.24E-08,6.47E-08,1.45E-01,2.82E-01,6.05E-08,1.93E-06,468.25,427.59,478.41,417.43,504.51,432,452.32,402.86,,
FBgn0030717,X,protein_coding,CG8931,9.19E-02,2.89E-01,8.48E-04,1.87E-03,2.02E-02,6.20E-02,6.88E-03,2.21E-02,263.16,284.46,284.99,262.62,266.97,259.35,303.02,265.9,,
FBgn0030718,X,protein_coding,CG9172,9.70E-02,2.96E-01,1.02E-07,4.50E-07,1.37E-01,2.70E-01,1.02E-03,5.14E-03,"1,739.73","1,937.07",2010.50,1666.30,"1,874.69","1,604.78","2,146.31","1,727.82",,
FBgn0030719,X,protein_coding,eIF5,1.13E-01,3.22E-01,1.97E-04,4.85E-04,2.59E-04,1.96E-03,2.27E-01,3.25E-01,"3,381.06","3,255.24",3444.52,3191.78,"3,630.82","3,131.30","3,258.23","3,252.25",,
FBgn0030720,X,protein_coding,CG8939,7.88E-01,9.01E-01,2.02E-04,4.96E-04,5.56E-02,1.37E-01,5.67E-02,1.12E-01,285.64,288.69,271.40,302.93,262.5,308.78,280.29,297.09,,
FBgn0030721,X,protein_coding,CG12698,4.28E-01,6.61E-01,4.31E-05,1.19E-04,4.47E-04,2.99E-03,3.32E-02,7.44E-02,337.72,322.49,357.85,302.35,388.28,287.16,327.43,317.55,,
FBgn0030722,X,protein_coding,CG12395,4.64E-01,6.90E-01,3.09E-03,6.19E-03,3.23E-02,9.00E-02,2.14E-01,3.12E-01,156.49,162.04,168.94,149.60,172.89,140.1,164.99,159.1,,
FBgn0030723,X,protein_coding,dpr18,9.31E-02,2.90E-01,1.69E-01,2.30E-01,6.27E-02,1.50E-01,2.99E-01,4.01E-01,145.07,132.76,142.97,134.86,143.56,146.57,142.37,123.15,,
FBgn0030724,X,protein_coding,Nipsnap,5.09E-02,2.09E-01,1.42E-10,1.14E-09,2.21E-07,1.02E-05,1.59E-01,2.47E-01,"1,010.49",955.25,890.47,1075.27,854.17,"1,166.81",926.77,983.74,,
FBgn0030725,X,protein_coding,CG8958,8.54E-02,2.78E-01,4.58E-08,2.15E-07,1.65E-04,1.39E-03,4.74E-01,5.64E-01,157.91,145.91,174.84,128.98,194.29,121.53,155.39,136.44,,
FBgn0030729,X,protein_coding,CG12507,8.56E-02,2.79E-01,3.70E-01,4.46E-01,3.97E-01,5.69E-01,2.78E-01,3.80E-01,2.02,0.95,1.70,1.27,2.45,1.6,0.96,0.93,,
FBgn0030731,X,protein_coding,Mfe2,5.37E-04,2.19E-02,6.96E-02,1.05E-01,1.47E-03,7.68E-03,1.82E-01,2.75E-01,"2,023.53","2,325.06",2215.28,2133.31,"1,987.91","2,059.16","2,442.65","2,207.46",,
FBgn0030733,X,protein_coding,CG3560,5.87E-01,7.78E-01,4.67E-13,7.63E-12,4.95E-01,6.58E-01,3.67E-03,1.38E-02,"2,138.69","2,258.15",2876.73,1520.11,"2,854.19","1,423.19","2,899.27","1,617.03",,
FBgn0030734,X,protein_coding,CG9911,2.78E-01,5.30E-01,3.49E-02,5.65E-02,2.02E-03,9.90E-03,1.26E-01,2.06E-01,"1,181.24","1,222.01",1230.82,1172.43,"1,255.27","1,107.20","1,206.38","1,237.65",,
FBgn0030735,X,protein_coding,CG3632,8.24E-01,9.19E-01,1.79E-07,7.48E-07,2.50E-01,4.17E-01,2.11E-04,1.47E-03,804.99,798.98,764.69,839.28,761.32,848.67,768.06,829.9,,
FBgn0030737,X,protein_coding,CG9914,2.20E-01,4.66E-01,1.70E-02,2.93E-02,4.65E-02,1.19E-01,1.79E-01,2.72E-01,"1,088.80",998.62,974.98,1112.44,963.66,"1,213.93",986.29,"1,010.96",,
FBgn0030738,X,protein_coding,CG9915,5.97E-01,7.85E-01,2.83E-03,5.71E-03,5.52E-01,7.06E-01,5.01E-01,5.87E-01,290.44,294.12,280.97,303.59,277.05,303.82,284.89,303.35,,
FBgn0030739,X,protein_coding,CG13957,3.65E-01,6.07E-01,1.22E-04,3.11E-04,3.36E-02,9.29E-02,3.06E-01,4.08E-01,130.06,134.73,122.71,142.08,115.52,144.6,129.9,139.56,,
FBgn0030740,X,protein_coding,CG9917,4.29E-02,1.90E-01,6.77E-05,1.80E-04,1.39E-04,1.22E-03,8.03E-03,2.49E-02,891.29,978.77,888.62,981.44,801.1,981.48,976.15,981.4,,
FBgn0030742,X,protein_coding,CG9919,4.39E-01,6.70E-01,3.32E-05,9.31E-05,1.99E-01,3.54E-01,1.75E-01,2.66E-01,119.27,123.54,131.66,111.15,132.26,106.28,131.05,116.02,,
FBgn0030743,X,protein_coding,CG9921,4.00E-03,5.64E-02,2.79E-01,3.54E-01,9.24E-06,1.63E-04,1.62E-03,7.34E-03,425.55,524.68,468.56,481.67,386.92,464.19,550.2,499.15,,
FBgn0030744,X,protein_coding,CG9992,6.22E-01,8.02E-01,1.68E-01,2.29E-01,3.23E-01,4.98E-01,4.33E-02,9.10E-02,380.77,372.41,384.09,369.09,393.59,367.94,374.58,370.23,,
FBgn0030745,X,protein_coding,CG4239,1.42E-02,1.05E-01,3.64E-17,3.62E-15,1.14E-06,3.54E-05,2.53E-06,4.14E-05,979.67,745.66,1084.26,641.07,"1,275.72",683.62,892.81,598.51,,
FBgn0030746,X,protein_coding,CG9981,1.03E-01,3.06E-01,1.90E-02,3.25E-02,5.54E-01,7.08E-01,7.23E-08,2.23E-06,130.15,171.99,143.43,158.70,120.68,139.62,166.19,177.78,,
FBgn0030747,X,protein_coding,CG4301,1.28E-03,3.19E-02,6.00E-02,9.17E-02,2.62E-02,7.62E-02,6.84E-03,2.20E-02,470.3,579.13,536.56,512.87,496.34,444.27,576.79,581.47,,
FBgn0030748,X,protein_coding,Traf-like,8.06E-02,2.70E-01,1.84E-02,3.16E-02,9.33E-01,9.63E-01,1.00E-01,1.74E-01,126.14,138.55,126.70,137.98,120.3,131.97,133.1,144,,
FBgn0030749,X,protein_coding,AnxB11,1.65E-03,3.56E-02,1.89E-12,2.57E-11,1.36E-03,7.19E-03,7.86E-02,1.44E-01,770.47,674.22,636.10,808.59,658.4,882.54,613.8,734.64,,
FBgn0030752,X,protein_coding,CG9947,9.63E-02,2.96E-01,1.47E-03,3.12E-03,9.50E-01,9.73E-01,1.60E-01,2.48E-01,338.03,312.29,306.31,344.01,318.85,357.22,293.78,330.81,,
FBgn0030753,X,protein_coding,rngo,3.16E-01,5.68E-01,3.13E-02,5.13E-02,9.78E-01,9.88E-01,5.81E-02,1.14E-01,688.52,702.28,705.20,685.60,698.45,678.6,711.96,692.6,,
FBgn0030756,X,protein_coding,CG9903,1.50E-03,3.45E-02,9.59E-05,2.49E-04,1.30E-01,2.61E-01,1.24E-04,9.70E-04,44.59,85.26,72.79,57.07,55.15,34.04,90.42,80.09,,
FBgn0030757,X,protein_coding,CG9902,1.34E-01,3.55E-01,1.25E-01,1.76E-01,7.75E-01,8.68E-01,4.59E-01,5.50E-01,129.85,119.04,129.58,119.31,135.92,123.78,123.24,114.84,,
FBgn0030758,X,protein_coding,CanA-14F,2.10E-03,4.03E-02,1.71E-04,4.26E-04,1.64E-01,3.09E-01,6.14E-03,2.04E-02,"1,637.01","1,348.91",1418.44,1567.48,"1,587.08","1,686.95","1,249.81","1,448.01",,
FBgn0030759,X,protein_coding,CG13014,3.29E-04,1.77E-02,8.25E-01,8.61E-01,1.51E-01,2.91E-01,9.90E-01,9.91E-01,67.39,78.94,73.66,72.68,71.13,63.66,76.18,81.7,,
FBgn0030761,X,protein_coding,CG9784,1.38E-01,3.61E-01,6.84E-07,2.57E-06,2.20E-01,3.81E-01,9.37E-01,9.48E-01,302.75,293.66,268.58,327.82,267.29,338.21,269.87,317.44,,
FBgn0030763,X,protein_coding,CG9782,8.00E-01,9.07E-01,2.33E-03,4.78E-03,1.27E-03,6.81E-03,1.63E-01,2.53E-01,19.64,20.32,23.37,16.59,26.67,12.62,20.08,20.56,,
FBgn0030764,X,protein_coding,CG9777,9.55E-02,2.94E-01,1.34E-04,3.41E-04,4.79E-02,1.22E-01,5.39E-02,1.07E-01,191.67,214.65,221.09,185.23,217.99,165.34,224.2,205.11,,
FBgn0030766,X,protein_coding,mthl1,3.45E-03,5.27E-02,6.23E-03,1.17E-02,3.03E-01,4.78E-01,1.03E-02,3.02E-02,326.72,267.57,285.22,309.07,319.02,334.41,251.41,283.72,,
FBgn0030768,X,protein_coding,CG9723,2.09E-01,4.54E-01,2.28E-01,2.99E-01,2.21E-02,6.64E-02,4.07E-01,5.06E-01,262.64,272.76,272.10,263.30,275.68,249.59,268.51,277.02,,
FBgn0030769,X,protein_coding,CG13012,3.84E-01,6.24E-01,2.43E-01,3.15E-01,6.68E-01,7.94E-01,3.61E-14,1.42E-11,209.28,159.63,179.74,189.17,202.86,215.71,156.63,162.62,,
FBgn0030770,X,protein_coding,CG13010,2.74E-01,5.26E-01,2.63E-11,2.57E-10,4.19E-02,1.10E-01,9.26E-02,1.64E-01,192.31,207.15,247.77,151.69,250.01,134.61,245.52,168.78,,
FBgn0030773,X,protein_coding,CG9676,3.14E-01,5.67E-01,3.32E-03,6.60E-03,5.45E-01,7.00E-01,2.70E-08,1.00E-06,297.08,367.48,359.38,305.18,319.01,275.14,399.75,335.21,,
FBgn0030774,X,protein_coding,spheroide,6.88E-04,2.46E-02,7.73E-04,1.72E-03,7.51E-01,8.50E-01,2.75E-01,3.77E-01,426.85,517.26,499.82,444.29,452.25,401.44,547.39,487.13,,
FBgn0030775,X,protein_coding,CG9673,6.32E-04,2.36E-02,3.02E-05,8.51E-05,6.37E-01,7.71E-01,1.92E-01,2.87E-01,609.69,747.65,729.84,627.50,665.78,553.59,793.9,701.4,,
FBgn0030776,X,protein_coding,CG4653,3.88E-03,5.58E-02,6.66E-03,1.25E-02,9.48E-01,9.72E-01,8.60E-03,2.62E-02,309.05,381.87,360.07,330.86,323.98,294.11,396.15,367.6,,
FBgn0030777,X,protein_coding,CG9672,4.30E-02,1.90E-01,3.39E-01,4.14E-01,2.77E-02,7.97E-02,2.48E-06,4.07E-05,517.53,360.16,428.61,449.08,482.87,552.19,374.35,345.97,,
FBgn0030778,X,protein_coding,CG4678,2.62E-01,5.13E-01,4.80E-14,1.14E-12,8.60E-02,1.92E-01,7.99E-06,1.06E-04,176.84,162.97,197.09,142.73,207.52,146.17,186.65,139.28,,
FBgn0030780,X,protein_coding,CG13008,6.48E-01,8.18E-01,4.21E-10,3.04E-09,1.30E-03,6.94E-03,1.49E-02,4.03E-02,910.62,887.19,1032.60,765.20,"1,095.44",725.79,969.76,804.61,,
FBgn0030786,X,protein_coding,mRpL22,6.12E-01,7.95E-01,1.80E-07,7.52E-07,4.36E-02,1.14E-01,4.11E-01,5.10E-01,178.6,175.14,198.64,155.09,207.07,150.13,190.22,160.06,,
FBgn0030787,X,protein_coding,CG9609,8.34E-01,9.24E-01,1.39E-01,1.93E-01,1.80E-01,3.30E-01,1.41E-04,1.07E-03,144.43,146.24,142.76,147.91,144.18,144.68,141.34,151.15,,
FBgn0030788,X,protein_coding,Sap30,3.46E-01,5.92E-01,1.30E-02,2.29E-02,5.77E-01,7.26E-01,2.98E-01,4.00E-01,125.85,121.32,118.26,128.92,119.39,132.32,117.13,125.52,,
FBgn0030789,X,protein_coding,Rrp45,2.36E-02,1.37E-01,1.85E-03,3.85E-03,8.49E-01,9.15E-01,5.41E-01,6.22E-01,76.59,83.14,75.57,84.16,72.53,80.64,78.6,87.68,,
FBgn0030790,X,protein_coding,CG4768,1.21E-01,3.35E-01,2.22E-09,1.35E-08,1.12E-03,6.17E-03,5.53E-05,5.13E-04,307.95,280.34,267.90,320.39,270.67,345.23,265.13,295.56,,
FBgn0030791,X,protein_coding,CG9132,6.25E-01,8.04E-01,5.50E-05,1.49E-04,9.29E-01,9.61E-01,1.30E-01,2.12E-01,398.45,390.27,365.50,423.22,369.05,427.85,361.96,418.58,,
FBgn0030792,X,protein_coding,CG4789,7.83E-01,8.99E-01,8.67E-03,1.59E-02,3.92E-01,5.64E-01,3.51E-05,3.56E-04,205.86,210.75,199.29,217.31,199.62,212.09,198.96,222.53,,
FBgn0030793,X,protein_coding,CG9125,1.14E-01,3.24E-01,2.05E-03,4.23E-03,1.37E-01,2.70E-01,3.33E-06,5.27E-05,62.89,76.36,65.41,73.84,56.77,69,74.04,78.67,,
FBgn0030794,X,protein_coding,CG13005,2.36E-01,4.86E-01,2.40E-03,4.91E-03,7.00E-02,1.64E-01,3.54E-01,4.57E-01,37.88,41.28,35.48,43.69,36.09,39.67,34.86,47.71,,
FBgn0030795,X,protein_coding,ppk28,4.44E-01,6.74E-01,6.48E-03,1.22E-02,5.67E-01,7.19E-01,1.65E-03,7.46E-03,15.12,20.25,13.20,22.17,11.51,18.72,14.88,25.62,,
FBgn0030796,X,protein_coding,CG4829,2.91E-02,1.54E-01,1.67E-05,4.90E-05,6.47E-01,7.80E-01,2.34E-01,3.33E-01,264.49,246.22,270.37,240.35,278.16,250.82,262.58,229.87,,
FBgn0030797,X,protein_coding,CG13004,8.66E-02,2.80E-01,3.61E-01,4.38E-01,3.55E-01,5.28E-01,4.01E-01,5.01E-01,298.6,277.84,292.96,283.48,308.14,289.07,277.77,277.9,,
FBgn0030798,X,protein_coding,CG13003,4.48E-01,6.77E-01,6.54E-03,1.23E-02,4.12E-04,2.80E-03,1.97E-02,4.97E-02,258.41,244.17,266.89,235.69,295.28,221.54,238.5,249.85,,
FBgn0030799,X,protein_coding,CG4872,4.94E-02,2.06E-01,2.44E-02,4.09E-02,2.07E-01,3.64E-01,4.46E-01,5.43E-01,110.11,121.46,110.00,121.57,101.18,119.04,118.82,124.1,,
FBgn0030800,X,protein_coding,CG9104,5.21E-03,6.33E-02,5.26E-01,6.00E-01,3.62E-01,5.36E-01,7.47E-03,2.35E-02,137.47,174.81,154.43,157.84,138.22,136.71,170.64,178.98,,
FBgn0030801,X,protein_coding,Rcp,2.49E-01,5.01E-01,2.48E-02,4.15E-02,2.14E-01,3.72E-01,4.37E-01,5.35E-01,51.76,54.71,50.45,56.01,47.49,56.02,53.42,55.99,,
FBgn0030802,X,protein_coding,CG9099,5.44E-02,2.18E-01,9.86E-01,9.89E-01,4.80E-01,6.45E-01,9.48E-01,9.58E-01,274.66,285.7,280.26,280.11,277.8,271.53,282.71,288.69,,
FBgn0030803,X,protein_coding,CG4880,4.11E-01,6.48E-01,1.92E-03,4.00E-03,3.45E-02,9.47E-02,8.03E-06,1.06E-04,164.87,183.59,186.85,161.60,185.7,144.04,188.01,179.16,,
FBgn0030804,X,protein_coding,CG13002,9.55E-01,9.81E-01,2.03E-01,2.70E-01,8.98E-01,9.44E-01,9.85E-01,9.87E-01,1.63,1.61,1.21,2.02,1.26,1.99,1.16,2.05,,
FBgn0030805,X,protein_coding,wus,4.65E-02,1.99E-01,6.71E-02,1.01E-01,2.38E-01,4.03E-01,1.81E-02,4.66E-02,86.9,73.55,77.04,83.42,85.73,88.07,68.34,78.76,,
FBgn0030806,X,protein_coding,CG13001,3.15E-01,5.67E-01,9.91E-02,1.44E-01,3.43E-01,5.16E-01,2.56E-02,6.06E-02,57.17,61.93,57.24,61.87,53.55,60.8,60.93,62.94,,
FBgn0030807,X,protein_coding,CG13000,6.56E-01,8.23E-01,2.63E-01,3.37E-01,6.26E-01,7.63E-01,1.05E-01,1.80E-01,3.44,2.92,2.70,3.65,2.76,4.12,2.65,3.18,,
FBgn0030808,X,protein_coding,RhoGAP15B,4.75E-01,6.97E-01,1.59E-13,3.08E-12,1.15E-03,6.27E-03,3.47E-02,7.70E-02,547.05,531.48,452.68,625.85,436.67,657.44,468.69,594.27,,
FBgn0030809,X,protein_coding,CG9086,1.77E-01,4.13E-01,8.07E-04,1.79E-03,4.80E-01,6.44E-01,2.95E-09,1.58E-07,"2,526.20","2,147.07",2224.63,2448.64,"2,392.84","2,659.56","2,056.42","2,237.71",,
FBgn0030812,X,protein_coding,CG8949,1.77E-01,4.13E-01,1.03E-01,1.49E-01,8.00E-01,8.84E-01,8.03E-02,1.47E-01,551.4,520.27,523.38,548.29,537.05,565.75,509.7,530.83,,
FBgn0030813,X,protein_coding,CG4949,9.94E-01,9.98E-01,6.21E-07,2.36E-06,2.71E-01,4.42E-01,1.35E-01,2.18E-01,51.52,51.5,45.05,57.96,43.93,59.11,46.17,56.82,,
FBgn0030814,X,protein_coding,CG4955,1.30E-01,3.50E-01,1.01E-13,2.10E-12,1.57E-04,1.34E-03,9.18E-02,1.63E-01,351.67,320.71,424.50,247.88,468.69,234.66,380.31,261.11,,
FBgn0030815,X,protein_coding,CG8945,1.39E-01,3.62E-01,1.37E-01,1.91E-01,8.25E-01,9.01E-01,1.95E-02,4.94E-02,5.62,3.26,3.78,5.09,4.87,6.37,2.7,3.82,,
FBgn0030816,X,protein_coding,CG16700,2.14E-01,4.59E-01,8.05E-01,8.44E-01,1.40E-01,2.75E-01,1.73E-03,7.75E-03,340.55,314.44,326.34,328.65,332.34,348.76,320.34,308.54,,
FBgn0030817,X,protein_coding,CG4991,2.98E-01,5.49E-01,5.65E-01,6.36E-01,3.16E-03,1.41E-02,3.47E-03,1.32E-02,233.9,219.14,228.48,224.56,246.72,221.07,210.23,228.04,,
FBgn0030823,X,protein_coding,CG8918,8.05E-01,9.10E-01,2.17E-11,2.17E-10,1.10E-03,6.03E-03,9.81E-04,4.97E-03,108.62,110.68,129.54,89.76,135.28,81.96,123.8,97.56,,
FBgn0030824,X,protein_coding,CG5070,8.50E-01,9.31E-01,4.29E-01,5.04E-01,7.84E-02,1.79E-01,4.98E-01,5.85E-01,4.52,3.98,3.11,5.39,0.79,8.25,5.43,2.53,,
FBgn0030826,X,protein_coding,CG12995,5.83E-02,2.27E-01,6.32E-06,1.99E-05,2.86E-04,2.11E-03,2.27E-01,3.25E-01,2.07,3.39,4.11,1.35,2.42,1.72,5.8,0.97,,
FBgn0030828,X,protein_coding,CG5162,2.43E-02,1.39E-01,1.51E-07,6.41E-07,5.82E-01,7.30E-01,6.77E-04,3.70E-03,"5,356.39","4,507.89",5409.39,4454.90,"5,871.93","4,840.85","4,946.84","4,068.94",,
FBgn0030829,X,protein_coding,CG12998,4.82E-01,7.03E-01,7.17E-01,7.70E-01,5.24E-02,1.31E-01,2.62E-01,3.62E-01,1.79,1.37,1.67,1.49,2.39,1.2,0.95,1.78,,
FBgn0030830,X,protein_coding,CG5172,3.37E-01,5.87E-01,7.44E-01,7.93E-01,1.37E-01,2.70E-01,2.08E-02,5.18E-02,0.46,0.98,0.67,0.77,0.64,0.27,0.7,1.27,,
FBgn0030832,X,protein_coding,CG10597,3.80E-01,6.20E-01,1.95E-01,2.61E-01,7.27E-01,8.34E-01,1.18E-01,1.96E-01,0.2,0.06,0.05,0.20,0.1,0.29,0,0.11,,
FBgn0030833,X,protein_coding,CG8915,3.08E-01,5.60E-01,6.12E-01,6.78E-01,9.51E-02,2.07E-01,2.08E-01,3.04E-01,187.38,180.81,182.82,185.36,181.83,192.92,183.81,177.81,,
FBgn0030834,X,protein_coding,CG8675,6.92E-01,8.46E-01,5.48E-03,1.05E-02,3.41E-01,5.14E-01,2.94E-01,3.96E-01,106.56,104.36,98.32,112.59,97.12,115.99,99.52,109.19,,
FBgn0030836,X,protein_coding,CG8664,5.03E-01,7.20E-01,2.25E-04,5.47E-04,8.48E-01,9.15E-01,2.43E-03,1.01E-02,8.5,10.23,11.93,6.80,11.19,5.82,12.67,7.78,,
FBgn0030837,X,protein_coding,CG8661,2.38E-02,1.38E-01,1.59E-09,1.01E-08,8.41E-03,3.09E-02,5.46E-04,3.13E-03,111.21,202.3,220.21,93.30,154.16,68.26,286.26,118.35,,
FBgn0030838,X,protein_coding,CG5445,7.60E-01,8.86E-01,4.32E-05,1.19E-04,2.04E-01,3.61E-01,9.91E-03,2.93E-02,439.32,433.64,412.27,460.68,421.62,457.02,402.92,464.35,X :17189519,0.000767097
FBgn0030839,X,protein_coding,CG5613,9.33E-01,9.70E-01,1.67E-02,2.89E-02,5.75E-01,7.24E-01,1.42E-01,2.27E-01,113.17,113.74,119.87,107.04,118.15,108.18,121.58,105.89,,
FBgn0030840,X,protein_coding,p-cup,8.13E-01,9.14E-01,1.82E-11,1.87E-10,6.69E-06,1.29E-04,2.49E-03,1.03E-02,212.36,208.79,249.53,171.62,271.29,153.44,227.77,189.8,,
FBgn0030841,X,protein_coding,CG8568,8.63E-01,9.38E-01,6.14E-01,6.80E-01,1.69E-02,5.38E-02,1.89E-01,2.82E-01,4.51,4.32,4.62,4.21,3.67,5.34,5.58,3.07,,
FBgn0030844,X,protein_coding,ppk23,1.04E-01,3.07E-01,8.06E-01,8.45E-01,3.12E-01,4.87E-01,6.81E-01,7.40E-01,44.6,38.83,42.18,41.25,46.98,42.22,37.37,40.29,,
FBgn0030846,X,protein_coding,CG12992,7.16E-01,8.60E-01,4.57E-10,3.27E-09,2.32E-04,1.79E-03,1.03E-01,1.78E-01,688.08,698.42,786.16,600.34,823.12,553.04,749.19,647.64,,
FBgn0030847,X,protein_coding,CG12991,1.63E-02,1.13E-01,1.13E-07,4.94E-07,4.06E-04,2.77E-03,4.02E-02,8.62E-02,478.78,426.85,413.94,491.70,417.78,539.78,410.09,443.61,,
FBgn0030850,X,protein_coding,stas,1.01E-01,3.03E-01,1.25E-06,4.49E-06,9.08E-01,9.49E-01,3.47E-02,7.70E-02,816.31,754.33,720.28,850.36,752.5,880.12,688.06,820.6,,
FBgn0030851,X,protein_coding,CG8326,1.52E-01,3.80E-01,1.95E-05,5.66E-05,1.30E-02,4.36E-02,6.15E-04,3.44E-03,71.39,63.24,61.42,73.20,62.46,80.33,60.39,66.08,,
FBgn0030852,X,protein_coding,CG8316,4.07E-01,6.45E-01,1.63E-07,6.86E-07,4.67E-03,1.94E-02,4.40E-02,9.20E-02,375.56,357.89,412.12,321.33,441.14,309.98,383.1,332.68,,
FBgn0030853,X,protein_coding,CG5703,3.58E-02,1.72E-01,1.25E-11,1.36E-10,6.71E-02,1.58E-01,5.98E-03,2.00E-02,"1,306.11","1,529.00",1675.06,1160.06,"1,518.81","1,093.42","1,831.31","1,226.70",,
FBgn0030854,X,protein_coding,CG8289,8.88E-02,2.84E-01,3.48E-09,2.05E-08,3.55E-01,5.29E-01,1.13E-01,1.90E-01,377.8,403.29,349.46,431.63,332.14,423.46,366.78,439.81,,
FBgn0030855,X,protein_coding,CG5800,1.36E-01,3.57E-01,5.52E-07,2.12E-06,4.26E-01,5.96E-01,1.11E-02,3.20E-02,138,126.67,119.96,144.71,124.07,151.93,115.85,137.5,,
FBgn0030858,X,protein_coding,IntS2,9.49E-01,9.78E-01,1.20E-05,3.60E-05,2.07E-01,3.65E-01,1.89E-01,2.82E-01,292.83,293.51,270.92,315.41,265.17,320.48,276.68,310.34,,
FBgn0030859,X,protein_coding,CG12990,2.65E-02,1.46E-01,1.50E-15,7.08E-14,2.74E-10,7.02E-08,1.58E-01,2.46E-01,"1,488.11","1,613.79",1838.37,1263.54,"1,947.82","1,028.40","1,728.91","1,498.68",,
FBgn0030863,X,protein_coding,CG8188,3.07E-03,4.95E-02,1.22E-01,1.73E-01,6.19E-01,7.58E-01,9.69E-01,9.75E-01,701.69,659.92,696.03,665.58,721.72,681.67,670.35,649.49,,
FBgn0030864,X,protein_coding,CG8173,1.74E-01,4.10E-01,1.16E-03,2.52E-03,1.19E-01,2.43E-01,8.25E-01,8.57E-01,84.48,89.26,94.85,78.90,96.01,72.96,93.68,84.84,,
FBgn0030868,X,protein_coding,CG12986,4.21E-01,6.55E-01,9.64E-01,9.72E-01,1.65E-01,3.11E-01,6.38E-01,7.05E-01,0.3,0.5,0.39,0.40,0.1,0.5,0.68,0.31,,
FBgn0030869,X,protein_coding,Socs16D,1.96E-02,1.25E-01,1.46E-04,3.68E-04,9.97E-01,9.99E-01,5.15E-04,2.99E-03,709.21,605.31,622.74,691.78,674.66,743.76,570.82,639.8,,
FBgn0030870,X,protein_coding,CG6398,8.81E-01,9.46E-01,1.04E-02,1.87E-02,1.48E-01,2.86E-01,7.83E-06,1.04E-04,459.23,455.23,445.10,469.35,440.54,477.93,449.67,460.78,,
FBgn0030871,X,protein_coding,CG8142,2.64E-02,1.46E-01,9.61E-03,1.74E-02,1.03E-01,2.20E-01,8.51E-01,8.78E-01,37.76,41.77,42.69,36.84,38.91,36.6,46.46,37.07,,
FBgn0030872,X,protein_coding,Ucp4A,3.55E-01,5.99E-01,4.32E-14,1.04E-12,1.99E-03,9.81E-03,3.74E-02,8.14E-02,385.44,402.23,469.71,317.97,442.7,328.18,496.71,307.75,,
FBgn0030873,X,protein_coding,CG15814,6.07E-01,7.92E-01,3.32E-01,4.07E-01,9.20E-01,9.56E-01,5.66E-01,6.44E-01,419.94,424.77,417.53,427.19,414.62,425.27,420.44,429.1,,
FBgn0030874,X,protein_coding,CG6506,3.19E-02,1.62E-01,5.29E-02,8.21E-02,3.81E-02,1.02E-01,8.58E-02,1.54E-01,61.01,70.66,68.50,63.16,66.55,55.47,70.45,70.86,,
FBgn0030876,X,protein_coding,CG6762,5.93E-01,7.82E-01,3.68E-02,5.93E-02,8.42E-04,4.89E-03,9.99E-01,9.99E-01,103.37,104,99.70,107.67,92.59,114.16,106.81,101.19,,
FBgn0030877,X,protein_coding,Arp8,9.45E-02,2.93E-01,9.75E-06,2.98E-05,3.93E-01,5.66E-01,1.90E-01,2.85E-01,98.52,109.52,91.42,116.62,87.95,109.09,94.89,124.14,,
